Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
42000.  4.00   10.4   5.60e-07    2630.
n = 2845

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  1.75114173e-10  1.75114173e-10  1.00000000e+00
  2.00000000e+08  6.36863784e-10  6.36863784e-10  1.00000000e+00
  1.20000000e+07  5.24949373e-09  5.24949373e-09  1.00000000e+00
  1.00000000e+06  5.34673426e-08  5.34673532e-08  9.99999821e-01
  6.00000000e+05  1.13602582e-07  1.13602610e-07  9.99999762e-01
  2.50000000e+05  4.90920854e-07  4.90921025e-07  9.99999642e-01
  1.20000000e+05  1.80778670e-06  1.80778773e-06  9.99999464e-01
  5.00000000e+04  9.34568197e-06  9.34568743e-06  9.99999344e-01
  4.85000000e+04  9.91334309e-06  9.91334946e-06  9.99999344e-01
  4.75000000e+04  1.03232715e-05  1.03232778e-05  9.99999285e-01
  4.65000000e+04  1.07609640e-05  1.07609712e-05  9.99999285e-01
  4.55000000e+04  1.12288626e-05  1.12288708e-05  9.99999285e-01
  4.45000000e+04  1.17296422e-05  1.17296513e-05  9.99999225e-01
  4.35000000e+04  1.22662314e-05  1.22662404e-05  9.99999225e-01
  4.25000000e+04  1.28418415e-05  1.28418505e-05  9.99999225e-01
  4.15000000e+04  1.34600068e-05  1.34600177e-05  9.99999225e-01
  4.05000000e+04  1.41246273e-05  1.41246383e-05  9.99999225e-01
  3.95000000e+04  1.48400113e-05  1.48400231e-05  9.99999166e-01
  3.85000000e+04  1.56109563e-05  1.56109691e-05  9.99999166e-01
  3.75000000e+04  1.64428238e-05  1.64428366e-05  9.99999225e-01
  3.65000000e+04  1.73416465e-05  1.73416611e-05  9.99999225e-01
  3.55000000e+04  1.83142765e-05  1.83142911e-05  9.99999225e-01
  3.50017500e+04  1.88288286e-05  1.88288432e-05  9.99999225e-01
  3.45000000e+04  1.93685446e-05  1.93685592e-05  9.99999225e-01
  3.34000000e+04  2.06333698e-05  2.06333843e-05  9.99999285e-01
  3.24000000e+04  2.18903133e-05  2.18903278e-05  9.99999344e-01
  3.17500000e+04  2.27681012e-05  2.27681157e-05  9.99999344e-01
  3.12500000e+04  2.34788276e-05  2.34788422e-05  9.99999404e-01
  3.07500000e+04  2.42226160e-05  2.42226306e-05  9.99999404e-01
  3.02500000e+04  2.50016565e-05  2.50016692e-05  9.99999404e-01
  2.97500000e+04  2.58183536e-05  2.58183663e-05  9.99999464e-01
  2.92500000e+04  2.66753450e-05  2.66753577e-05  9.99999464e-01
  2.87500000e+04  2.75755356e-05  2.75755483e-05  9.99999523e-01
  2.82500000e+04  2.85221195e-05  2.85221322e-05  9.99999523e-01
  2.77500000e+04  2.95186255e-05  2.95186401e-05  9.99999523e-01
  2.72500000e+04  3.05689427e-05  3.05689537e-05  9.99999583e-01
  2.67500000e+04  3.16773621e-05  3.16773767e-05  9.99999583e-01
  2.62500000e+04  3.28486312e-05  3.28486458e-05  9.99999642e-01
  2.57500000e+04  3.40879997e-05  3.40880106e-05  9.99999642e-01
  2.52500000e+04  3.54012591e-05  3.54012700e-05  9.99999642e-01
  2.47500000e+04  3.67948232e-05  3.67948378e-05  9.99999642e-01
  2.42500000e+04  3.82757862e-05  3.82758008e-05  9.99999642e-01
  2.37500000e+04  3.98519842e-05  3.98519987e-05  9.99999642e-01
  2.32500000e+04  4.15320901e-05  4.15321047e-05  9.99999642e-01
  2.29000000e+04  4.27750747e-05  4.27750892e-05  9.99999642e-01
  2.27938418e+04  4.31636108e-05  4.31636254e-05  9.99999642e-01
  2.27935801e+04  4.30757718e-05  4.30757864e-05  9.99999642e-01
  2.26500000e+04  4.36082591e-05  4.36082737e-05  9.99999642e-01
  2.22500000e+04  4.51471315e-05  4.51471496e-05  9.99999642e-01
  2.17500000e+04  4.71930180e-05  4.71930362e-05  9.99999642e-01
  2.12962480e+04  4.91774663e-05  4.91774845e-05  9.99999642e-01
  2.12500000e+04  4.93869957e-05  4.93870139e-05  9.99999642e-01
  2.07500000e+04  5.17434855e-05  5.17435037e-05  9.99999583e-01
  2.02500000e+04  5.42784801e-05  5.42785019e-05  9.99999583e-01
  1.99835137e+04  5.57085332e-05  5.57085550e-05  9.99999583e-01
  1.98000000e+04  5.67272291e-05  5.67272546e-05  9.99999583e-01
  1.94000000e+04  5.90488526e-05  5.90488817e-05  9.99999523e-01
  1.90000000e+04  6.15183380e-05  6.15183744e-05  9.99999523e-01
  1.86000000e+04  6.41477091e-05  6.41477454e-05  9.99999464e-01
  1.82000000e+04  6.69501023e-05  6.69501387e-05  9.99999464e-01
  1.78000000e+04  6.99399534e-05  6.99399970e-05  9.99999404e-01
  1.77902715e+04  7.00151431e-05  7.00151868e-05  9.99999404e-01
  1.74000000e+04  7.31331602e-05  7.31332038e-05  9.99999404e-01
  1.70000000e+04  7.65472796e-05  7.65473233e-05  9.99999344e-01
  1.66000000e+04  8.02018185e-05  8.02018767e-05  9.99999344e-01
  1.62000000e+04  8.41185465e-05  8.41186120e-05  9.99999285e-01
  1.60308428e+04  8.58596104e-05  8.58596759e-05  9.99999285e-01
  1.58750000e+04  8.75106998e-05  8.75107653e-05  9.99999285e-01
  1.56250000e+04  9.02578540e-05  9.02579195e-05  9.99999225e-01
