Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
29000.  3.00   26.7   3.30e-06    1627.
n = 2711

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  1.12306470e-10  1.12306470e-10  1.00000000e+00
  2.00000000e+08  7.93607458e-10  7.93607458e-10  1.00000000e+00
  1.20000000e+07  9.33363609e-09  9.33363609e-09  1.00000000e+00
  1.00000000e+06  6.76351277e-08  6.76351704e-08  9.99999344e-01
  6.00000000e+05  1.25194035e-07  1.25194205e-07  9.99998689e-01
  2.50000000e+05  4.59747952e-07  4.59749145e-07  9.99997437e-01
  1.20000000e+05  1.52226039e-06  1.52226562e-06  9.99996603e-01
  5.00000000e+04  7.24179745e-06  7.24182519e-06  9.99996185e-01
  4.85000000e+04  7.66618541e-06  7.66621451e-06  9.99996185e-01
  4.75000000e+04  7.97130451e-06  7.97133544e-06  9.99996185e-01
  4.65000000e+04  8.29597320e-06  8.29600503e-06  9.99996185e-01
  4.55000000e+04  8.64191952e-06  8.64195226e-06  9.99996185e-01
  4.45000000e+04  9.01106705e-06  9.01110161e-06  9.99996185e-01
  4.35000000e+04  9.40555856e-06  9.40559403e-06  9.99996185e-01
  4.25000000e+04  9.82778784e-06  9.82782603e-06  9.99996185e-01
  4.15000000e+04  1.02804352e-05  1.02804743e-05  9.99996185e-01
  4.05000000e+04  1.07665037e-05  1.07665464e-05  9.99996185e-01
  3.95000000e+04  1.12893786e-05  1.12894222e-05  9.99996185e-01
  3.85000000e+04  1.18528733e-05  1.18529188e-05  9.99996185e-01
  3.75000000e+04  1.24613098e-05  1.24613589e-05  9.99996185e-01
  3.65000000e+04  1.31196011e-05  1.31196521e-05  9.99996185e-01
  3.55000000e+04  1.38333526e-05  1.38334062e-05  9.99996185e-01
  3.50017500e+04  1.42116423e-05  1.42116969e-05  9.99996126e-01
  3.45000000e+04  1.46089933e-05  1.46090488e-05  9.99996126e-01
  3.34000000e+04  1.55425478e-05  1.55426078e-05  9.99996126e-01
  3.24000000e+04  1.64736502e-05  1.64737139e-05  9.99996126e-01
  3.17500000e+04  1.71258453e-05  1.71259126e-05  9.99996126e-01
  3.12500000e+04  1.76550402e-05  1.76551093e-05  9.99996126e-01
  3.07500000e+04  1.82098720e-05  1.82099411e-05  9.99996126e-01
  3.02500000e+04  1.87920396e-05  1.87921123e-05  9.99996126e-01
