Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
29000.  3.40   19.1   1.40e-06    1562.
n = 2711

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  1.17933524e-10  1.17933524e-10  1.00000000e+00
  2.00000000e+08  7.47962969e-10  7.47962969e-10  1.00000000e+00
  1.20000000e+07  8.13418577e-09  8.13418577e-09  1.00000000e+00
  1.00000000e+06  5.89163811e-08  5.89164024e-08  9.99999642e-01
  6.00000000e+05  1.08843210e-07  1.08843288e-07  9.99999285e-01
  2.50000000e+05  3.94865708e-07  3.94866248e-07  9.99998689e-01
  1.20000000e+05  1.28209558e-06  1.28209820e-06  9.99998033e-01
  5.00000000e+04  6.26609653e-06  6.26610654e-06  9.99998391e-01
  4.85000000e+04  6.63562014e-06  6.63563060e-06  9.99998391e-01
  4.75000000e+04  6.90109118e-06  6.90110210e-06  9.99998391e-01
  4.65000000e+04  7.18337242e-06  7.18338379e-06  9.99998391e-01
  4.55000000e+04  7.48391858e-06  7.48393040e-06  9.99998391e-01
  4.45000000e+04  7.80434584e-06  7.80435857e-06  9.99998391e-01
  4.35000000e+04  8.14645682e-06  8.14646955e-06  9.99998391e-01
  4.25000000e+04  8.51226287e-06  8.51227651e-06  9.99998391e-01
  4.15000000e+04  8.90402316e-06  8.90403680e-06  9.99998391e-01
  4.05000000e+04  9.32427520e-06  9.32429066e-06  9.99998391e-01
  3.95000000e+04  9.77588570e-06  9.77590116e-06  9.99998391e-01
  3.85000000e+04  1.02620970e-05  1.02621134e-05  9.99998391e-01
  3.75000000e+04  1.07865926e-05  1.07866108e-05  9.99998391e-01
  3.65000000e+04  1.13535752e-05  1.13535943e-05  9.99998391e-01
  3.55000000e+04  1.19678434e-05  1.19678616e-05  9.99998391e-01
  3.50017500e+04  1.22932324e-05  1.22932524e-05  9.99998391e-01
  3.45000000e+04  1.26349041e-05  1.26349232e-05  9.99998391e-01
  3.34000000e+04  1.34372376e-05  1.34372594e-05  9.99998391e-01
  3.24000000e+04  1.42369709e-05  1.42369936e-05  9.99998450e-01
  3.17500000e+04  1.47968831e-05  1.47969067e-05  9.99998450e-01
  3.12500000e+04  1.52510456e-05  1.52510702e-05  9.99998450e-01
  3.07500000e+04  1.57270697e-05  1.57270933e-05  9.99998450e-01
  3.02500000e+04  1.62263896e-05  1.62264150e-05  9.99998450e-01
  2.97500000e+04  1.67505732e-05  1.67506005e-05  9.99998450e-01
  2.92500000e+04  1.73013141e-05  1.73013414e-05  9.99998450e-01
  2.87500000e+04  1.78804548e-05  1.78804821e-05  9.99998450e-01
  2.82500000e+04  1.84900018e-05  1.84900291e-05  9.99998450e-01
  2.77500000e+04  1.91321433e-05  1.91321724e-05  9.99998450e-01
  2.72500000e+04  1.98092712e-05  1.98093021e-05  9.99998450e-01
  2.67500000e+04  2.05240049e-05  2.05240358e-05  9.99998450e-01
  2.62500000e+04  2.12792111e-05  2.12792438e-05  9.99998450e-01
  2.57500000e+04  2.20780439e-05  2.20780785e-05  9.99998450e-01
  2.52500000e+04  2.29239758e-05  2.29240104e-05  9.99998450e-01
  2.47500000e+04  2.38208322e-05  2.38208686e-05  9.99998450e-01
  2.42500000e+04  2.47728385e-05  2.47728767e-05  9.99998510e-01
  2.37500000e+04  2.57846677e-05  2.57847078e-05  9.99998510e-01
  2.32500000e+04  2.68614967e-05  2.68615368e-05  9.99998510e-01
  2.29000000e+04  2.76570008e-05  2.76570427e-05  9.99998510e-01
  2.27938418e+04  2.79054548e-05  2.79054966e-05  9.99998510e-01
  2.27935801e+04  2.77269792e-05  2.77270192e-05  9.99998569e-01
  2.26500000e+04  2.80664935e-05  2.80665336e-05  9.99998569e-01
  2.22500000e+04  2.90466105e-05  2.90466523e-05  9.99998569e-01
  2.17500000e+04  3.03472207e-05  3.03472643e-05  9.99998569e-01
  2.12962480e+04  3.16062287e-05  3.16062760e-05  9.99998569e-01
  2.12500000e+04  3.17390222e-05  3.17390695e-05  9.99998569e-01
  2.07500000e+04  3.32307573e-05  3.32308009e-05  9.99998629e-01
  2.02500000e+04  3.48321664e-05  3.48322137e-05  9.99998629e-01
  1.99835137e+04  3.57341814e-05  3.57342324e-05  9.99998629e-01
  1.98000000e+04  3.63761792e-05  3.63762301e-05  9.99998629e-01
  1.94000000e+04  3.78377117e-05  3.78377626e-05  9.99998689e-01
  1.90000000e+04  3.93901428e-05  3.93901937e-05  9.99998689e-01
  1.86000000e+04  4.10409193e-05  4.10409702e-05  9.99998748e-01
  1.82000000e+04  4.27981795e-05  4.27982304e-05  9.99998748e-01
  1.78000000e+04  4.46708400e-05  4.46708946e-05  9.99998808e-01
  1.77902715e+04  4.47179082e-05  4.47179627e-05  9.99998808e-01
  1.74000000e+04  4.66686906e-05  4.66687452e-05  9.99998808e-01
  1.70000000e+04  4.88024780e-05  4.88025362e-05  9.99998868e-01
  1.66000000e+04  5.10840509e-05  5.10841055e-05  9.99998868e-01
  1.62000000e+04  5.35264990e-05  5.35265535e-05  9.99998927e-01
  1.60308428e+04  5.46112642e-05  5.46113224e-05  9.99998927e-01
  1.58750000e+04  5.56394225e-05  5.56394807e-05  9.99998927e-01
  1.56250000e+04  5.73488942e-05  5.73489560e-05  9.99998987e-01
  1.53750000e+04  5.91361895e-05  5.91362477e-05  9.99998987e-01
  1.51250000e+04  6.10058705e-05  6.10059324e-05  9.99998987e-01
  1.48750000e+04  6.29628776e-05  6.29629430e-05  9.99999046e-01
  1.46700000e+04  6.46365370e-05  6.46365952e-05  9.99999046e-01
  1.45882109e+04  6.53223615e-05  6.53224270e-05  9.99999046e-01
  1.45881055e+04  6.44361717e-05  6.44362372e-05  9.99999046e-01
  1.44200000e+04  6.58718054e-05  6.58718636e-05  9.99999046e-01
  1.41250000e+04  6.85060077e-05  6.85060731e-05  9.99999046e-01
  1.38750000e+04  7.08599182e-05  7.08599837e-05  9.99999106e-01
  1.36250000e+04  7.33330598e-05  7.33331326e-05  9.99999106e-01
  1.33750000e+04  7.59334289e-05  7.59334944e-05  9.99999106e-01
  1.32954863e+04  7.67885576e-05  7.67886231e-05  9.99999106e-01
  1.31250000e+04  7.86697783e-05  7.86698438e-05  9.99999166e-01
  1.28750000e+04  8.15517487e-05  8.15518142e-05  9.99999166e-01
  1.26250000e+04  8.45899849e-05  8.45900577e-05  9.99999166e-01
  1.23750000e+04  8.77963175e-05  8.77963830e-05  9.99999225e-01
  1.22132930e+04  8.99658990e-05  8.99659644e-05  9.99999225e-01
  1.21250000e+04  9.11838797e-05  9.11839525e-05  9.99999225e-01
  1.18750000e+04  9.47673834e-05  9.47674489e-05  9.99999285e-01
  1.16250000e+04  9.85632942e-05  9.85633596e-05  9.99999344e-01
  1.13750000e+04  1.02590137e-04  1.02590202e-04  9.99999404e-01
  1.11250000e+04  1.06868792e-04  1.06868851e-04  9.99999464e-01
  1.08750000e+04  1.11422807e-04  1.11422858e-04  9.99999583e-01
  1.06250000e+04  1.16278839e-04  1.16278883e-04  9.99999702e-01
  1.05034287e+04  1.18758260e-04  1.18758297e-04  9.99999762e-01
  1.03750000e+04  1.21467012e-04  1.21467041e-04  9.99999821e-01
  1.01250000e+04  1.27021442e-04  1.27021456e-04  9.99999940e-01
  9.95000000e+03  1.31147914e-04  1.31147899e-04  1.00000012e+00
  9.85000000e+03  1.33600493e-04  1.33600479e-04  1.00000012e+00
  9.75000000e+03  1.36125513e-04  1.36125484e-04  1.00000024e+00
  9.65000000e+03  1.38726013e-04  1.38725984e-04  1.00000036e+00
  9.55000000e+03  1.41405209e-04  1.41405166e-04  1.00000036e+00
  9.45000000e+03  1.44166508e-04  1.44166435e-04  1.00000036e+00
  9.35000000e+03  1.47013416e-04  1.47013328e-04  1.00000048e+00
  9.25000000e+03  1.49949628e-04  1.49949527e-04  1.00000060e+00
  9.21353320e+03  1.51043350e-04  1.51043263e-04  1.00000060e+00
  9.15000000e+03  1.52979032e-04  1.52978930e-04  1.00000072e+00
  9.05000000e+03  1.56105700e-04  1.56105583e-04  1.00000083e+00
  8.95000000e+03  1.59333853e-04  1.59333737e-04  1.00000095e+00
  8.85000000e+03  1.62667973e-04  1.62667813e-04  1.00000095e+00
  8.75000000e+03  1.66112644e-04  1.66112484e-04  1.00000095e+00
  8.65000000e+03  1.69672741e-04  1.69672552e-04  1.00000107e+00
  8.55000000e+03  1.73353299e-04  1.73353081e-04  1.00000119e+00
  8.45000000e+03  1.77159585e-04  1.77159352e-04  1.00000131e+00
  8.35000000e+03  1.81097101e-04  1.81096853e-04  1.00000143e+00
  8.25000000e+03  1.85171564e-04  1.85171288e-04  1.00000155e+00
  8.20613867e+03  1.87003432e-04  1.87003126e-04  1.00000155e+00
  8.20580176e+03  1.79477400e-04  1.79477327e-04  1.00000036e+00
  8.15000000e+03  1.81703945e-04  1.81703872e-04  1.00000048e+00
  8.05000000e+03  1.85802652e-04  1.85802535e-04  1.00000060e+00
  7.95000000e+03  1.90046529e-04  1.90046398e-04  1.00000072e+00
  7.85000000e+03  1.94442749e-04  1.94442604e-04  1.00000083e+00
  7.77599707e+03  1.97798596e-04  1.97798436e-04  1.00000083e+00
  7.75000000e+03  1.98998867e-04  1.98998707e-04  1.00000095e+00
  7.65000000e+03  2.03722841e-04  2.03722637e-04  1.00000095e+00
  7.55000000e+03  2.08623023e-04  2.08622805e-04  1.00000107e+00
  7.45000000e+03  2.13708234e-04  2.13707986e-04  1.00000119e+00
  7.38897607e+03  2.16906265e-04  2.16906003e-04  1.00000131e+00
  7.35000000e+03  2.18987727e-04  2.18987436e-04  1.00000131e+00
  7.25000000e+03  2.24471165e-04  2.24470845e-04  1.00000143e+00
  7.15000000e+03  2.30168749e-04  2.30168400e-04  1.00000155e+00
  7.05000000e+03  2.36091160e-04  2.36090753e-04  1.00000155e+00
  6.95000000e+03  2.42249516e-04  2.42249094e-04  1.00000167e+00
  6.85000000e+03  2.48655502e-04  2.48655066e-04  1.00000179e+00
  6.75000000e+03  2.55321327e-04  2.55320832e-04  1.00000191e+00
  6.72004639e+03  2.57370441e-04  2.57369917e-04  1.00000203e+00
  6.65000000e+03  2.62259651e-04  2.62259127e-04  1.00000203e+00
  6.55000000e+03  2.69483804e-04  2.69483251e-04  1.00000215e+00
  6.45000000e+03  2.77007552e-04  2.77006970e-04  1.00000215e+00
  6.35000000e+03  2.84845330e-04  2.84844718e-04  1.00000215e+00
  6.25000000e+03  2.93012097e-04  2.93011457e-04  1.00000215e+00
  6.16217920e+03  3.00467917e-04  3.00467247e-04  1.00000215e+00
  6.15000000e+03  3.01523512e-04  3.01522843e-04  1.00000215e+00
  6.05000000e+03  3.10395786e-04  3.10395117e-04  1.00000215e+00
  5.95000000e+03  3.19645886e-04  3.19645216e-04  1.00000215e+00
  5.85000000e+03  3.29291535e-04  3.29290866e-04  1.00000203e+00
  5.75000000e+03  3.39351129e-04  3.39350489e-04  1.00000191e+00
  5.68999756e+03  3.45593871e-04  3.45593260e-04  1.00000179e+00
  5.68983594e+03  3.45316745e-04  3.45316104e-04  1.00000179e+00
  5.65000000e+03  3.49539507e-04  3.49538896e-04  1.00000179e+00
  5.59581445e+03  3.55398486e-04  3.55397904e-04  1.00000167e+00
  5.55000000e+03  3.60457954e-04  3.60457372e-04  1.00000155e+00
  5.50500146e+03  3.65523651e-04  3.65523068e-04  1.00000155e+00
  5.50484961e+03  3.65540880e-04  3.65540298e-04  1.00000155e+00
  5.45000000e+03  3.71847971e-04  3.71847418e-04  1.00000143e+00
  5.41886816e+03  3.75493575e-04  3.75493051e-04  1.00000143e+00
  5.35000000e+03  3.83731764e-04  3.83731269e-04  1.00000131e+00
  5.33553174e+03  3.85493418e-04  3.85492924e-04  1.00000119e+00
  5.25000000e+03  3.96132789e-04  3.96132382e-04  1.00000107e+00
  5.17631836e+03  4.05615661e-04  4.05615283e-04  1.00000095e+00
  5.15000000e+03  4.09076223e-04  4.09075874e-04  1.00000095e+00
  5.05000000e+03  4.22588928e-04  4.22588637e-04  1.00000072e+00
  5.02633154e+03  4.25873586e-04  4.25873324e-04  1.00000072e+00
  4.95000000e+03  4.36699978e-04  4.36699745e-04  1.00000060e+00
  4.88491162e+03  4.46221035e-04  4.46220802e-04  1.00000048e+00
  4.88479199e+03  4.46238730e-04  4.46238497e-04  1.00000048e+00
  4.85000000e+03  4.51440981e-04  4.51440777e-04  1.00000036e+00
  4.75000000e+03  4.66846453e-04  4.66846250e-04  1.00000036e+00
  4.70810596e+03  4.73506836e-04  4.73506661e-04  1.00000036e+00
  4.65000000e+03  4.82954347e-04  4.82954172e-04  1.00000036e+00
  4.55000000e+03  4.99806716e-04  4.99806483e-04  1.00000036e+00
  4.54375586e+03  5.00884722e-04  5.00884489e-04  1.00000048e+00
  4.35000000e+03  5.35936793e-04  5.35936328e-04  1.00000095e+00
  4.24723145e+03  5.55875071e-04  5.55874372e-04  1.00000131e+00
  4.15000000e+03  5.75679587e-04  5.75678598e-04  1.00000167e+00
  4.05000000e+03  5.97074220e-04  5.97072765e-04  1.00000238e+00
  3.98703809e+03  6.11114549e-04  6.11112860e-04  1.00000274e+00
  3.95000000e+03  6.19590573e-04  6.19588653e-04  1.00000310e+00
  3.85000000e+03  6.43320440e-04  6.43317821e-04  1.00000405e+00
  3.75695508e+03  6.66578941e-04  6.66575565e-04  1.00000501e+00
  3.75688452e+03  6.66597043e-04  6.66593667e-04  1.00000501e+00
  3.75000000e+03  6.68365683e-04  6.68362307e-04  1.00000513e+00
  3.72617798e+03  6.74538198e-04  6.74534531e-04  1.00000536e+00
  3.69603784e+03  6.82466431e-04  6.82462472e-04  1.00000584e+00
