Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
47000.  3.80   15.8   8.60e-06    3020.
n = 2972

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  1.36340652e-11  1.36340678e-11  9.99999762e-01
  2.00000000e+08  1.84479687e-09  1.84479687e-09  1.00000000e+00
  1.20000000e+07  4.99702821e-08  4.99702821e-08  9.99999940e-01
  1.00000000e+06  3.07397556e-07  3.07398039e-07  9.99998450e-01
  6.00000000e+05  4.78094364e-07  4.78095785e-07  9.99997139e-01
  2.50000000e+05  1.22620554e-06  1.22621645e-06  9.99991119e-01
  1.20000000e+05  3.42671206e-06  3.42676753e-06  9.99983788e-01
  5.00000000e+04  1.38577270e-05  1.38580563e-05  9.99976277e-01
  4.85000000e+04  1.45817121e-05  1.45820613e-05  9.99976039e-01
  4.75000000e+04  1.50999495e-05  1.51003132e-05  9.99975920e-01
  4.65000000e+04  1.56494461e-05  1.56498263e-05  9.99975741e-01
  4.55000000e+04  1.62329088e-05  1.62333035e-05  9.99975622e-01
  4.45000000e+04  1.68533497e-05  1.68537608e-05  9.99975502e-01
  4.35000000e+04  1.75141395e-05  1.75145706e-05  9.99975383e-01
  4.25000000e+04  1.82190597e-05  1.82195108e-05  9.99975264e-01
  4.15000000e+04  1.89723542e-05  1.89728271e-05  9.99975145e-01
  4.05000000e+04  1.97788031e-05  1.97792979e-05  9.99974966e-01
  3.95000000e+04  2.06437944e-05  2.06443146e-05  9.99974847e-01
  3.85000000e+04  2.15734217e-05  2.15739674e-05  9.99974728e-01
  3.75000000e+04  2.25745898e-05  2.25751628e-05  9.99974608e-01
  3.65000000e+04  2.36551405e-05  2.36557462e-05  9.99974489e-01
  3.55000000e+04  2.48240121e-05  2.48246506e-05  9.99974310e-01
  3.50017500e+04  2.54424867e-05  2.54431416e-05  9.99974251e-01
  3.45000000e+04  2.60914148e-05  2.60920897e-05  9.99974191e-01
  3.34000000e+04  2.76133869e-05  2.76141036e-05  9.99974012e-01
  3.24000000e+04  2.91279430e-05  2.91287033e-05  9.99973893e-01
  3.17500000e+04  3.01869222e-05  3.01877135e-05  9.99973834e-01
  3.12500000e+04  3.10450887e-05  3.10459036e-05  9.99973774e-01
  3.07500000e+04  3.19438004e-05  3.19446444e-05  9.99973714e-01
  3.02500000e+04  3.28856986e-05  3.28865644e-05  9.99973655e-01
  2.97500000e+04  3.38736318e-05  3.38745267e-05  9.99973655e-01
  2.92500000e+04  3.49106922e-05  3.49116126e-05  9.99973595e-01
  2.87500000e+04  3.60002341e-05  3.60011873e-05  9.99973595e-01
  2.82500000e+04  3.71459100e-05  3.71468923e-05  9.99973595e-01
  2.77500000e+04  3.83516890e-05  3.83527004e-05  9.99973595e-01
  2.72500000e+04  3.96219002e-05  3.96229443e-05  9.99973595e-01
  2.67500000e+04  4.09612694e-05  4.09623462e-05  9.99973655e-01
  2.62500000e+04  4.23749734e-05  4.23760866e-05  9.99973714e-01
  2.57500000e+04  4.38686657e-05  4.38698153e-05  9.99973774e-01
  2.52500000e+04  4.54485707e-05  4.54497567e-05  9.99973834e-01
  2.47500000e+04  4.71215062e-05  4.71227359e-05  9.99973953e-01
  2.42500000e+04  4.88950027e-05  4.88962723e-05  9.99974072e-01
  2.37500000e+04  5.07773511e-05  5.07786608e-05  9.99974191e-01
  2.32500000e+04  5.27777302e-05  5.27790835e-05  9.99974310e-01
  2.29000000e+04  5.42536218e-05  5.42550079e-05  9.99974430e-01
  2.27938418e+04  5.47142554e-05  5.47156524e-05  9.99974489e-01
  2.27935801e+04  5.46659758e-05  5.46673691e-05  9.99974489e-01
  2.26500000e+04  5.52990532e-05  5.53004647e-05  9.99974549e-01
  2.22500000e+04  5.71252895e-05  5.71267374e-05  9.99974668e-01
  2.17500000e+04  5.95456477e-05  5.95471502e-05  9.99974787e-01
  2.12962480e+04  6.18854028e-05  6.18869526e-05  9.99974966e-01
  2.12500000e+04  6.21320141e-05  6.21335639e-05  9.99974966e-01
  2.07500000e+04  6.49000722e-05  6.49016802e-05  9.99975145e-01
  2.02500000e+04  6.78674478e-05  6.78691140e-05  9.99975383e-01
  1.99835137e+04  6.95371418e-05  6.95388444e-05  9.99975443e-01
  1.98000000e+04  7.07248400e-05  7.07265717e-05  9.99975562e-01
  1.94000000e+04  7.34268251e-05  7.34286077e-05  9.99975681e-01
  1.90000000e+04  7.62944983e-05  7.62963391e-05  9.99975860e-01
  1.86000000e+04  7.93418731e-05  7.93437794e-05  9.99976039e-01
  1.82000000e+04  8.25845127e-05  8.25864772e-05  9.99976277e-01
  1.78000000e+04  8.60396758e-05  8.60417058e-05  9.99976456e-01
  1.77902715e+04  8.61265289e-05  8.61285516e-05  9.99976456e-01
  1.74000000e+04  8.97266145e-05  8.97287100e-05  9.99976635e-01
  1.70000000e+04  9.36667711e-05  9.36689321e-05  9.99976873e-01
  1.66000000e+04  9.78841272e-05  9.78863682e-05  9.99977112e-01
  1.62000000e+04  1.02405531e-04  1.02407852e-04  9.99977350e-01
  1.60308428e+04  1.04416271e-04  1.04418606e-04  9.99977529e-01
  1.58750000e+04  1.06323729e-04  1.06326108e-04  9.99977589e-01
  1.56250000e+04  1.09499000e-04  1.09501430e-04  9.99977827e-01
  1.53750000e+04  1.12824229e-04  1.12826718e-04  9.99978006e-01
  1.51250000e+04  1.16309013e-04  1.16311552e-04  9.99978185e-01
  1.48750000e+04  1.19963683e-04  1.19966273e-04  9.99978423e-01
  1.46700000e+04  1.23095073e-04  1.23097707e-04  9.99978602e-01
  1.45882109e+04  1.24379847e-04  1.24382495e-04  9.99978662e-01
  1.45881055e+04  1.23863123e-04  1.23865786e-04  9.99978483e-01
  1.44200000e+04  1.26566054e-04  1.26568746e-04  9.99978662e-01
  1.41250000e+04  1.31534223e-04  1.31537003e-04  9.99978900e-01
  1.38750000e+04  1.35983646e-04  1.35986484e-04  9.99979138e-01
  1.36250000e+04  1.40668679e-04  1.40671575e-04  9.99979377e-01
  1.33750000e+04  1.45606115e-04  1.45609069e-04  9.99979675e-01
  1.32954863e+04  1.47232320e-04  1.47235303e-04  9.99979734e-01
  1.31250000e+04  1.50814187e-04  1.50817214e-04  9.99979913e-01
  1.28750000e+04  1.56312817e-04  1.56315917e-04  9.99980152e-01
  1.26250000e+04  1.62123746e-04  1.62126918e-04  9.99980450e-01
  1.23750000e+04  1.68270795e-04  1.68274055e-04  9.99980688e-01
  1.22132930e+04  1.72438085e-04  1.72441374e-04  9.99980867e-01
  1.21250000e+04  1.74780085e-04  1.74783418e-04  9.99980927e-01
  1.18750000e+04  1.81680356e-04  1.81683761e-04  9.99981225e-01
  1.16250000e+04  1.89003229e-04  1.89006736e-04  9.99981463e-01
  1.13750000e+04  1.96783731e-04  1.96787325e-04  9.99981701e-01
  1.11250000e+04  2.05060525e-04  2.05064236e-04  9.99981999e-01
  1.08750000e+04  2.13876658e-04  2.13880470e-04  9.99982238e-01
  1.06250000e+04  2.23279931e-04  2.23283845e-04  9.99982476e-01
  1.05034287e+04  2.28080506e-04  2.28084464e-04  9.99982595e-01
  1.03750000e+04  2.33323692e-04  2.33327708e-04  9.99982774e-01
  1.01250000e+04  2.44067531e-04  2.44071663e-04  9.99983013e-01
  9.95000000e+03  2.52040219e-04  2.52044440e-04  9.99983251e-01
  9.85000000e+03  2.56774278e-04  2.56778527e-04  9.99983370e-01
  9.75000000e+03  2.61644222e-04  2.61648529e-04  9.99983549e-01
  9.65000000e+03  2.66655261e-04  2.66659597e-04  9.99983668e-01
  9.55000000e+03  2.71812925e-04  2.71817320e-04  9.99983847e-01
  9.45000000e+03  2.77122977e-04  2.77127430e-04  9.99983966e-01
  9.35000000e+03  2.82591529e-04  2.82596011e-04  9.99984145e-01
  9.25000000e+03  2.88224866e-04  2.88229377e-04  9.99984324e-01
  9.21353320e+03  2.90321506e-04  2.90326047e-04  9.99984384e-01
  9.15000000e+03  2.94029742e-04  2.94034282e-04  9.99984503e-01
  9.05000000e+03  3.00013082e-04  3.00017680e-04  9.99984741e-01
  8.95000000e+03  3.06182308e-04  3.06186907e-04  9.99984920e-01
  8.85000000e+03  3.12545104e-04  3.12549761e-04  9.99985158e-01
  8.75000000e+03  3.19109648e-04  3.19114304e-04  9.99985397e-01
  8.65000000e+03  3.25884408e-04  3.25889094e-04  9.99985635e-01
  8.55000000e+03  3.32878379e-04  3.32883094e-04  9.99985874e-01
  8.45000000e+03  3.40101018e-04  3.40105733e-04  9.99986112e-01
  8.35000000e+03  3.47562251e-04  3.47566966e-04  9.99986410e-01
  8.25000000e+03  3.55272496e-04  3.55277240e-04  9.99986708e-01
  8.20613867e+03  3.58735764e-04  3.58740479e-04  9.99986827e-01
  8.20580176e+03  3.53094569e-04  3.53099516e-04  9.99985993e-01
  8.15000000e+03  3.57559882e-04  3.57564859e-04  9.99986172e-01
  8.05000000e+03  3.65775340e-04  3.65780317e-04  9.99986410e-01
  7.95000000e+03  3.74275231e-04  3.74280236e-04  9.99986649e-01
  7.85000000e+03  3.83072591e-04  3.83077597e-04  9.99986887e-01
  7.77599707e+03  3.89782537e-04  3.89787572e-04  9.99987125e-01
  7.75000000e+03  3.92181246e-04  3.92186281e-04  9.99987185e-01
  7.65000000e+03  4.01615776e-04  4.01620811e-04  9.99987483e-01
  7.55000000e+03  4.11391578e-04  4.11396613e-04  9.99987781e-01
  7.45000000e+03  4.21524921e-04  4.21529956e-04  9.99988079e-01
  7.38897607e+03  4.27891704e-04  4.27896710e-04  9.99988258e-01
  7.35000000e+03  4.32033063e-04  4.32038098e-04  9.99988377e-01
  7.25000000e+03  4.42934223e-04  4.42939257e-04  9.99988675e-01
  7.15000000e+03  4.54247755e-04  4.54252760e-04  9.99988973e-01
  7.05000000e+03  4.65994119e-04  4.65999095e-04  9.99989271e-01
  6.95000000e+03  4.78195027e-04  4.78200003e-04  9.99989629e-01
  6.85000000e+03  4.90873586e-04  4.90878534e-04  9.99989927e-01
  6.75000000e+03  5.04054304e-04  5.04059251e-04  9.99990225e-01
  6.72004639e+03  5.08103985e-04  5.08108933e-04  9.99990284e-01
  6.65000000e+03  5.17763256e-04  5.17768145e-04  9.99990463e-01
  6.55000000e+03  5.32028149e-04  5.32033097e-04  9.99990761e-01
  6.45000000e+03  5.46878553e-04  5.46883501e-04  9.99991000e-01
  6.35000000e+03  5.62346075e-04  5.62351022e-04  9.99991238e-01
  6.25000000e+03  5.78464358e-04  5.78469306e-04  9.99991417e-01
  6.16217920e+03  5.93184668e-04  5.93189616e-04  9.99991596e-01
  6.15000000e+03  5.95269375e-04  5.95274381e-04  9.99991596e-01
  6.05000000e+03  6.12799602e-04  6.12804666e-04  9.99991775e-01
  5.95000000e+03  6.31096365e-04  6.31101488e-04  9.99991894e-01
  5.85000000e+03  6.50203787e-04  6.50209025e-04  9.99992013e-01
  5.75000000e+03  6.70169422e-04  6.70174719e-04  9.99992132e-01
  5.68999756e+03  6.82582264e-04  6.82587619e-04  9.99992132e-01
  5.68983594e+03  6.79615187e-04  6.79620483e-04  9.99992192e-01
  5.65000000e+03  6.88049942e-04  6.88055297e-04  9.99992251e-01
  5.55000000e+03  7.09907676e-04  7.09913089e-04  9.99992311e-01
  5.45000000e+03  7.32791086e-04  7.32796616e-04  9.99992430e-01
  5.35000000e+03  7.56763911e-04  7.56769616e-04  9.99992490e-01
  5.33038721e+03  7.61599222e-04  7.61604926e-04  9.99992490e-01
  5.25000000e+03  7.81894953e-04  7.81900773e-04  9.99992549e-01
  5.15000000e+03  8.08258308e-04  8.08264303e-04  9.99992609e-01
  5.05000000e+03  8.35934130e-04  8.35940242e-04  9.99992669e-01
  5.01365576e+03  8.46334558e-04  8.46340670e-04  9.99992728e-01
  4.95000000e+03  8.65009031e-04  8.65015259e-04  9.99992788e-01
  4.85000000e+03  8.95576668e-04  8.95583013e-04  9.99992907e-01
  4.75000000e+03  9.27738554e-04  9.27744957e-04  9.99993086e-01
  4.65000000e+03  9.61604470e-04  9.61610873e-04  9.99993324e-01
  4.55000000e+03  9.97293508e-04  9.97299794e-04  9.99993622e-01
  4.48112012e+03  1.02300325e-03  1.02300965e-03  9.99993861e-01
  4.35000000e+03  1.07466802e-03  1.07467396e-03  9.99994397e-01
  4.25000000e+03  1.11664529e-03  1.11665099e-03  9.99994874e-01
  4.15000000e+03  1.16103154e-03  1.16103678e-03  9.99995410e-01
  4.05085034e+03  1.20759464e-03  1.20759965e-03  9.99996006e-01
  3.95000000e+03  1.25776243e-03  1.25776662e-03  9.99996662e-01
  3.85000000e+03  1.31051335e-03  1.31051696e-03  9.99997258e-01
  3.75000000e+03  1.36648875e-03  1.36649155e-03  9.99997914e-01
  3.69603784e+03  1.39812089e-03  1.39812345e-03  9.99998212e-01
  3.69596948e+03  1.39817188e-03  1.39817433e-03  9.99998212e-01
  3.67132788e+03  1.41296489e-03  1.41296734e-03  9.99998331e-01
  3.64707935e+03  1.42774056e-03  1.42774277e-03  9.99998450e-01
  3.64701294e+03  1.33486267e-03  1.33486802e-03  9.99995947e-01
  3.64302710e+03  1.33733195e-03  1.33733754e-03  9.99995947e-01
  3.64296069e+03  1.33009325e-03  1.33009907e-03  9.99995530e-01
  3.62000000e+03  1.34443550e-03  1.34444132e-03  9.99995649e-01
  3.61572290e+03  1.34713075e-03  1.34713668e-03  9.99995649e-01
  3.58888916e+03  1.36421144e-03  1.36421726e-03  9.99995768e-01
  3.55000000e+03  1.38950034e-03  1.38950616e-03  9.99995887e-01
  3.53639941e+03  1.39849714e-03  1.39850285e-03  9.99995947e-01
  3.48542261e+03  1.43294106e-03  1.43294665e-03  9.99996185e-01
  3.45000000e+03  1.45756605e-03  1.45757152e-03  9.99996305e-01
  3.43595386e+03  1.46749185e-03  1.46749720e-03  9.99996424e-01
  3.43589478e+03  1.46751746e-03  1.46752282e-03  9.99996424e-01
  3.39493311e+03  1.49699987e-03  1.49700500e-03  9.99996603e-01
  3.35493628e+03  1.52657740e-03  1.52658217e-03  9.99996841e-01
  3.35000000e+03  1.53028313e-03  1.53028790e-03  9.99996841e-01
  3.27770508e+03  1.58599555e-03  1.58599974e-03  9.99997258e-01
  3.25000000e+03  1.60808105e-03  1.60808500e-03  9.99997437e-01
  3.20394971e+03  1.64572848e-03  1.64573209e-03  9.99997795e-01
  3.15000000e+03  1.69137772e-03  1.69138075e-03  9.99998152e-01
