Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
26000.  3.00   25.7   1.70e-06    1422.
n = 2726

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  1.11682899e-10  1.11682899e-10  1.00000000e+00
  2.00000000e+08  5.24816801e-10  5.24816801e-10  1.00000000e+00
  1.20000000e+07  5.24531574e-09  5.24531574e-09  1.00000000e+00
  1.00000000e+06  4.72640167e-08  4.72640416e-08  9.99999523e-01
  6.00000000e+05  9.34540481e-08  9.34541262e-08  9.99999166e-01
  2.50000000e+05  3.48221960e-07  3.48222443e-07  9.99998689e-01
  1.20000000e+05  1.15184548e-06  1.15184741e-06  9.99998331e-01
  5.00000000e+04  5.65662094e-06  5.65663049e-06  9.99998331e-01
  4.85000000e+04  5.99562600e-06  5.99563600e-06  9.99998331e-01
  4.75000000e+04  6.23963342e-06  6.23964343e-06  9.99998331e-01
  4.65000000e+04  6.49949243e-06  6.49950289e-06  9.99998391e-01
  4.55000000e+04  6.77659727e-06  6.77660819e-06  9.99998391e-01
  4.45000000e+04  7.07249637e-06  7.07250774e-06  9.99998391e-01
  4.35000000e+04  7.38891413e-06  7.38892595e-06  9.99998391e-01
  4.25000000e+04  7.72777730e-06  7.72778913e-06  9.99998391e-01
  4.15000000e+04  8.09123958e-06  8.09125231e-06  9.99998450e-01
  4.05000000e+04  8.48172203e-06  8.48173477e-06  9.99998450e-01
  3.95000000e+04  8.90194588e-06  8.90195952e-06  9.99998450e-01
  3.85000000e+04  9.35498520e-06  9.35499975e-06  9.99998450e-01
  3.75000000e+04  9.84432063e-06  9.84433518e-06  9.99998450e-01
  3.65000000e+04  1.03739058e-05  1.03739221e-05  9.99998510e-01
  3.55000000e+04  1.09482507e-05  1.09482662e-05  9.99998510e-01
  3.50017500e+04  1.12526977e-05  1.12527150e-05  9.99998510e-01
  3.45000000e+04  1.15725106e-05  1.15725288e-05  9.99998510e-01
  3.34000000e+04  1.23239524e-05  1.23239688e-05  9.99998569e-01
  3.24000000e+04  1.30734179e-05  1.30734370e-05  9.99998569e-01
  3.17500000e+04  1.35983337e-05  1.35983537e-05  9.99998569e-01
  3.12500000e+04  1.40242000e-05  1.40242200e-05  9.99998569e-01
  3.07500000e+04  1.44706282e-05  1.44706491e-05  9.99998569e-01
  3.02500000e+04  1.49389589e-05  1.49389798e-05  9.99998569e-01
  2.97500000e+04  1.54306472e-05  1.54306708e-05  9.99998569e-01
  2.92500000e+04  1.59472711e-05  1.59472947e-05  9.99998569e-01
  2.87500000e+04  1.64905396e-05  1.64905614e-05  9.99998569e-01
  2.82500000e+04  1.70623098e-05  1.70623334e-05  9.99998629e-01
  2.77500000e+04  1.76646026e-05  1.76646281e-05  9.99998629e-01
  2.72500000e+04  1.82996209e-05  1.82996464e-05  9.99998629e-01
  2.67500000e+04  1.89697585e-05  1.89697857e-05  9.99998629e-01
  2.62500000e+04  1.96776309e-05  1.96776582e-05  9.99998629e-01
  2.57500000e+04  2.04260923e-05  2.04261196e-05  9.99998629e-01
  2.52500000e+04  2.12182531e-05  2.12182840e-05  9.99998629e-01
  2.47500000e+04  2.20575275e-05  2.20575585e-05  9.99998629e-01
  2.42500000e+04  2.29476409e-05  2.29476718e-05  9.99998629e-01
  2.37500000e+04  2.38926768e-05  2.38927096e-05  9.99998629e-01
  2.32500000e+04  2.48971119e-05  2.48971446e-05  9.99998629e-01
  2.29000000e+04  2.56381718e-05  2.56382064e-05  9.99998689e-01
  2.27938418e+04  2.58694436e-05  2.58694781e-05  9.99998689e-01
  2.27935801e+04  2.56286658e-05  2.56287003e-05  9.99998689e-01
  2.26500000e+04  2.59449043e-05  2.59449389e-05  9.99998689e-01
  2.22500000e+04  2.68571130e-05  2.68571475e-05  9.99998689e-01
  2.17500000e+04  2.80658369e-05  2.80658733e-05  9.99998689e-01
  2.12962480e+04  2.92337972e-05  2.92338354e-05  9.99998689e-01
  2.12500000e+04  2.93568610e-05  2.93568992e-05  9.99998748e-01
  2.07500000e+04  3.07375340e-05  3.07375740e-05  9.99998748e-01
  2.02500000e+04  3.22160122e-05  3.22160522e-05  9.99998748e-01
  1.99835137e+04  3.30470393e-05  3.30470793e-05  9.99998748e-01
  1.98000000e+04  3.36377343e-05  3.36377743e-05  9.99998748e-01
  1.94000000e+04  3.49800648e-05  3.49801085e-05  9.99998748e-01
  1.90000000e+04  3.64022453e-05  3.64022926e-05  9.99998748e-01
  1.86000000e+04  3.79105149e-05  3.79105622e-05  9.99998748e-01
  1.82000000e+04  3.95117604e-05  3.95118077e-05  9.99998748e-01
  1.78000000e+04  4.12135923e-05  4.12136433e-05  9.99998748e-01
  1.77902715e+04  4.12563095e-05  4.12563604e-05  9.99998748e-01
  1.74000000e+04  4.30244909e-05  4.30245454e-05  9.99998748e-01
  1.70000000e+04  4.49539148e-05  4.49539730e-05  9.99998748e-01
  1.66000000e+04  4.70124760e-05  4.70125342e-05  9.99998689e-01
  1.62000000e+04  4.92121253e-05  4.92121872e-05  9.99998689e-01
  1.60308428e+04  5.01880095e-05  5.01880750e-05  9.99998689e-01
  1.58750000e+04  5.11124999e-05  5.11125691e-05  9.99998689e-01
  1.56250000e+04  5.26488329e-05  5.26489021e-05  9.99998689e-01
  1.53750000e+04  5.42543894e-05  5.42544622e-05  9.99998689e-01
  1.51250000e+04  5.59335786e-05  5.59336513e-05  9.99998689e-01
  1.48750000e+04  5.76911880e-05  5.76912607e-05  9.99998689e-01
  1.46700000e+04  5.91945900e-05  5.91946664e-05  9.99998748e-01
  1.45882109e+04  5.98107763e-05  5.98108527e-05  9.99998748e-01
  1.45881055e+04  5.89034935e-05  5.89035626e-05  9.99998808e-01
  1.44200000e+04  6.01902757e-05  6.01903448e-05  9.99998808e-01
  1.41250000e+04  6.25501707e-05  6.25502507e-05  9.99998808e-01
  1.38750000e+04  6.46582193e-05  6.46582994e-05  9.99998808e-01
  1.36250000e+04  6.68728608e-05  6.68729408e-05  9.99998808e-01
  1.33750000e+04  6.92017638e-05  6.92018439e-05  9.99998808e-01
  1.32954863e+04  6.99677767e-05  6.99678567e-05  9.99998868e-01
  1.31250000e+04  7.16533250e-05  7.16534123e-05  9.99998868e-01
  1.28750000e+04  7.42367629e-05  7.42368502e-05  9.99998868e-01
  1.26250000e+04  7.69621911e-05  7.69622711e-05  9.99998927e-01
  1.23750000e+04  7.98406982e-05  7.98407782e-05  9.99998987e-01
  1.22132930e+04  8.17898035e-05  8.17898836e-05  9.99998987e-01
  1.21250000e+04  8.28844713e-05  8.28845441e-05  9.99999046e-01
  1.18750000e+04  8.61068547e-05  8.61069348e-05  9.99999106e-01
  1.16250000e+04  8.95225166e-05  8.95225894e-05  9.99999166e-01
  1.13750000e+04  9.31475079e-05  9.31475734e-05  9.99999285e-01
  1.11250000e+04  9.69994144e-05  9.69994726e-05  9.99999404e-01
  1.08750000e+04  1.01097488e-04  1.01097539e-04  9.99999464e-01
  1.06250000e+04  1.05462779e-04  1.05462823e-04  9.99999583e-01
  1.05034287e+04  1.07688917e-04  1.07688960e-04  9.99999642e-01
  1.03750000e+04  1.10118301e-04  1.10118337e-04  9.99999702e-01
  1.01250000e+04  1.15089220e-04  1.15089249e-04  9.99999821e-01
  9.95000000e+03  1.18771139e-04  1.18771153e-04  9.99999881e-01
  9.85000000e+03  1.20954377e-04  1.20954399e-04  9.99999881e-01
  9.75000000e+03  1.23197780e-04  1.23197795e-04  9.99999940e-01
  9.65000000e+03  1.25503371e-04  1.25503371e-04  9.99999940e-01
  9.55000000e+03  1.27873325e-04  1.27873325e-04  9.99999940e-01
  9.45000000e+03  1.30309840e-04  1.30309840e-04  1.00000000e+00
