Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
25000.  3.00   25.4   1.40e-06    1344.
n = 2726

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  1.08486699e-10  1.08486699e-10  1.00000000e+00
  2.00000000e+08  5.09452536e-10  5.09452536e-10  1.00000000e+00
  1.20000000e+07  5.24048138e-09  5.24048138e-09  1.00000000e+00
  1.00000000e+06  4.58918734e-08  4.58918947e-08  9.99999523e-01
  6.00000000e+05  9.14499338e-08  9.14500546e-08  9.99998748e-01
  2.50000000e+05  3.29243989e-07  3.29244813e-07  9.99997497e-01
  1.20000000e+05  1.07708570e-06  1.07708877e-06  9.99997079e-01
  5.00000000e+04  5.32049717e-06  5.32051217e-06  9.99997199e-01
  4.85000000e+04  5.63666163e-06  5.63667754e-06  9.99997199e-01
  4.75000000e+04  5.86416445e-06  5.86418082e-06  9.99997199e-01
  4.65000000e+04  6.10642564e-06  6.10644247e-06  9.99997199e-01
  4.55000000e+04  6.36477534e-06  6.36479308e-06  9.99997199e-01
  4.45000000e+04  6.64069785e-06  6.64071649e-06  9.99997199e-01
  4.35000000e+04  6.93584980e-06  6.93586935e-06  9.99997199e-01
  4.25000000e+04  7.25208565e-06  7.25210612e-06  9.99997199e-01
  4.15000000e+04  7.59148497e-06  7.59150680e-06  9.99997199e-01
  4.05000000e+04  7.95638243e-06  7.95640517e-06  9.99997199e-01
  3.95000000e+04  8.34940329e-06  8.34942693e-06  9.99997199e-01
  3.85000000e+04  8.77350521e-06  8.77352977e-06  9.99997199e-01
  3.75000000e+04  9.23202060e-06  9.23204607e-06  9.99997199e-01
  3.65000000e+04  9.72871294e-06  9.72874022e-06  9.99997199e-01
  3.55000000e+04  1.02678359e-05  1.02678650e-05  9.99997199e-01
  3.50017500e+04  1.05537629e-05  1.05537929e-05  9.99997199e-01
  3.45000000e+04  1.08542026e-05  1.08542336e-05  9.99997199e-01
  3.34000000e+04  1.15603034e-05  1.15603352e-05  9.99997199e-01
