Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
34000.  3.20   24.6   5.70e-06    1938.
n = 2727

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  8.48888390e-11  8.48888390e-11  1.00000000e+00
  2.00000000e+08  1.23222943e-09  1.23222943e-09  1.00000000e+00
  1.20000000e+07  1.80262649e-08  1.80262649e-08  9.99999940e-01
  1.00000000e+06  1.13612707e-07  1.13612792e-07  9.99999285e-01
  6.00000000e+05  1.97739240e-07  1.97739595e-07  9.99998152e-01
  2.50000000e+05  6.57121689e-07  6.57125213e-07  9.99994636e-01
  1.20000000e+05  2.08336610e-06  2.08338315e-06  9.99991775e-01
  5.00000000e+04  9.41854341e-06  9.41863618e-06  9.99990225e-01
  4.85000000e+04  9.95277969e-06  9.95287792e-06  9.99990165e-01
  4.75000000e+04  1.03364837e-05  1.03365855e-05  9.99990165e-01
  4.65000000e+04  1.07444330e-05  1.07445394e-05  9.99990165e-01
  4.55000000e+04  1.11787522e-05  1.11788622e-05  9.99990165e-01
  4.45000000e+04  1.16418041e-05  1.16419196e-05  9.99990165e-01
  4.35000000e+04  1.21362273e-05  1.21363464e-05  9.99990106e-01
  4.25000000e+04  1.26649629e-05  1.26650893e-05  9.99990106e-01
  4.15000000e+04  1.32313180e-05  1.32314481e-05  9.99990106e-01
  4.05000000e+04  1.38389987e-05  1.38391370e-05  9.99990046e-01
  3.95000000e+04  1.44921960e-05  1.44923397e-05  9.99990046e-01
  3.85000000e+04  1.51956410e-05  1.51957920e-05  9.99990046e-01
  3.75000000e+04  1.59547071e-05  1.59548672e-05  9.99990046e-01
  3.65000000e+04  1.67755152e-05  1.67756825e-05  9.99989986e-01
  3.55000000e+04  1.76650537e-05  1.76652302e-05  9.99989986e-01
  3.50017500e+04  1.81363685e-05  1.81365485e-05  9.99989986e-01
  3.45000000e+04  1.86313373e-05  1.86315247e-05  9.99989986e-01
  3.34000000e+04  1.97939225e-05  1.97941208e-05  9.99989986e-01
  3.24000000e+04  2.09530408e-05  2.09532518e-05  9.99989986e-01
  3.17500000e+04  2.17646975e-05  2.17649158e-05  9.99989986e-01
  3.12500000e+04  2.24231117e-05  2.24233372e-05  9.99989986e-01
  3.07500000e+04  2.31132417e-05  2.31134727e-05  9.99989986e-01
  3.02500000e+04  2.38371504e-05  2.38373887e-05  9.99989986e-01
  2.97500000e+04  2.45970659e-05  2.45973133e-05  9.99989986e-01
  2.92500000e+04  2.53953986e-05  2.53956550e-05  9.99989986e-01
  2.87500000e+04  2.62347530e-05  2.62350150e-05  9.99989986e-01
  2.82500000e+04  2.71179415e-05  2.71182125e-05  9.99989986e-01
  2.77500000e+04  2.80480199e-05  2.80483018e-05  9.99989986e-01
  2.72500000e+04  2.90282951e-05  2.90285861e-05  9.99989986e-01
  2.67500000e+04  3.00623597e-05  3.00626616e-05  9.99989986e-01
  2.62500000e+04  3.11541189e-05  3.11544318e-05  9.99989986e-01
  2.57500000e+04  3.23078202e-05  3.23081440e-05  9.99989986e-01
  2.52500000e+04  3.35281075e-05  3.35284421e-05  9.99990046e-01
  2.47500000e+04  3.48200301e-05  3.48203794e-05  9.99990046e-01
  2.42500000e+04  3.61891398e-05  3.61895000e-05  9.99990046e-01
  2.37500000e+04  3.76415010e-05  3.76418757e-05  9.99990046e-01
  2.32500000e+04  3.91838003e-05  3.91841895e-05  9.99990046e-01
  2.29000000e+04  4.03208287e-05  4.03212289e-05  9.99990046e-01
  2.27938418e+04  4.06755316e-05  4.06759355e-05  9.99990046e-01
  2.27935801e+04  4.04855891e-05  4.04859893e-05  9.99990165e-01
  2.26500000e+04  4.09729510e-05  4.09733548e-05  9.99990165e-01
  2.22500000e+04  4.23780402e-05  4.23784586e-05  9.99990165e-01
  2.17500000e+04  4.42382443e-05  4.42386772e-05  9.99990165e-01
  2.12962480e+04  4.60340816e-05  4.60345364e-05  9.99990165e-01
  2.12500000e+04  4.62232165e-05  4.62236712e-05  9.99990165e-01
  2.07500000e+04  4.83441036e-05  4.83445765e-05  9.99990165e-01
  2.02500000e+04  5.06133365e-05  5.06138349e-05  9.99990225e-01
  1.99835137e+04  5.18881134e-05  5.18886227e-05  9.99990225e-01
  1.98000000e+04  5.27939555e-05  5.27944685e-05  9.99990225e-01
  1.94000000e+04  5.48517201e-05  5.48522548e-05  9.99990225e-01
  1.90000000e+04  5.70310222e-05  5.70315788e-05  9.99990284e-01
  1.86000000e+04  5.93415280e-05  5.93421064e-05  9.99990284e-01
  1.82000000e+04  6.17939077e-05  6.17945043e-05  9.99990344e-01
  1.78000000e+04  6.43999447e-05  6.44005631e-05  9.99990404e-01
  1.77902715e+04  6.44653555e-05  6.44659740e-05  9.99990404e-01
  1.74000000e+04  6.71726884e-05  6.71733287e-05  9.99990463e-01
  1.70000000e+04  7.01266181e-05  7.01272802e-05  9.99990523e-01
  1.66000000e+04  7.32778208e-05  7.32785120e-05  9.99990582e-01
  1.62000000e+04  7.66442099e-05  7.66449230e-05  9.99990642e-01
  1.60308428e+04  7.81373456e-05  7.81380731e-05  9.99990702e-01
  1.58750000e+04  7.95515734e-05  7.95523083e-05  9.99990702e-01
  1.56250000e+04  8.19010238e-05  8.19017805e-05  9.99990761e-01
  1.53750000e+04  8.43551461e-05  8.43559246e-05  9.99990821e-01
  1.51250000e+04  8.69202340e-05  8.69210271e-05  9.99990880e-01
  1.48750000e+04  8.96030324e-05  8.96038473e-05  9.99991000e-01
  1.46700000e+04  9.18958540e-05  9.18966762e-05  9.99991059e-01
  1.45882109e+04  9.28350128e-05  9.28358495e-05  9.99991059e-01
  1.45881055e+04  9.20492312e-05  9.20500534e-05  9.99991059e-01
  1.44200000e+04  9.40311438e-05  9.40319806e-05  9.99991119e-01
  1.41250000e+04  9.76642914e-05  9.76651500e-05  9.99991179e-01
  1.38750000e+04  1.00907528e-04  1.00908408e-04  9.99991238e-01
  1.36250000e+04  1.04311999e-04  1.04312909e-04  9.99991298e-01
  1.33750000e+04  1.07888503e-04  1.07889427e-04  9.99991417e-01
  1.32954863e+04  1.09063949e-04  1.09064888e-04  9.99991417e-01
  1.31250000e+04  1.11648667e-04  1.11649628e-04  9.99991477e-01
  1.28750000e+04  1.15605188e-04  1.15606170e-04  9.99991536e-01
  1.26250000e+04  1.19771830e-04  1.19772827e-04  9.99991596e-01
  1.23750000e+04  1.24163518e-04  1.24164566e-04  9.99991655e-01
  1.22132930e+04  1.27131672e-04  1.27132720e-04  9.99991715e-01
