Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
32000.  3.40   20.0   2.60e-06    1796.
n = 2719

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  9.78037581e-11  9.78037581e-11  1.00000000e+00
  2.00000000e+08  1.02385345e-09  1.02385345e-09  1.00000000e+00
  1.20000000e+07  1.48896291e-08  1.48896291e-08  1.00000000e+00
  1.00000000e+06  8.83084539e-08  8.83084965e-08  9.99999583e-01
  6.00000000e+05  1.50455875e-07  1.50456032e-07  9.99999046e-01
  2.50000000e+05  5.11702069e-07  5.11703433e-07  9.99997377e-01
  1.20000000e+05  1.65975257e-06  1.65975962e-06  9.99995768e-01
  5.00000000e+04  7.54416624e-06  7.54420580e-06  9.99994755e-01
  4.85000000e+04  7.97597841e-06  7.97602024e-06  9.99994755e-01
  4.75000000e+04  8.28645716e-06  8.28649991e-06  9.99994755e-01
  4.65000000e+04  8.61686203e-06  8.61690751e-06  9.99994814e-01
  4.55000000e+04  8.96897018e-06  8.96901656e-06  9.99994814e-01
  4.45000000e+04  9.34475611e-06  9.34480431e-06  9.99994814e-01
  4.35000000e+04  9.74641989e-06  9.74646991e-06  9.99994874e-01
  4.25000000e+04  1.01764153e-05  1.01764672e-05  9.99994874e-01
  4.15000000e+04  1.06374846e-05  1.06375383e-05  9.99994874e-01
  4.05000000e+04  1.11326999e-05  1.11327563e-05  9.99994934e-01
  3.95000000e+04  1.16655101e-05  1.16655701e-05  9.99994934e-01
  3.85000000e+04  1.22397987e-05  1.22398596e-05  9.99994993e-01
  3.75000000e+04  1.28599504e-05  1.28600141e-05  9.99994993e-01
  3.65000000e+04  1.35309374e-05  1.35310047e-05  9.99995053e-01
  3.55000000e+04  1.42584186e-05  1.42584886e-05  9.99995053e-01
  3.50017500e+04  1.46439506e-05  1.46440216e-05  9.99995112e-01
  3.45000000e+04  1.50488704e-05  1.50489432e-05  9.99995112e-01
  3.34000000e+04  1.60000072e-05  1.60000855e-05  9.99995172e-01
  3.24000000e+04  1.69482973e-05  1.69483774e-05  9.99995232e-01
  3.17500000e+04  1.76122885e-05  1.76123722e-05  9.99995232e-01
  3.12500000e+04  1.81508985e-05  1.81509822e-05  9.99995291e-01
  3.07500000e+04  1.87154401e-05  1.87155292e-05  9.99995291e-01
  3.02500000e+04  1.93076285e-05  1.93077158e-05  9.99995351e-01
  2.97500000e+04  1.99293063e-05  1.99293991e-05  9.99995410e-01
  2.92500000e+04  2.05824945e-05  2.05825872e-05  9.99995410e-01
  2.87500000e+04  2.12693794e-05  2.12694758e-05  9.99995470e-01
  2.82500000e+04  2.19923477e-05  2.19924459e-05  9.99995530e-01
  2.77500000e+04  2.27540004e-05  2.27541022e-05  9.99995589e-01
  2.72500000e+04  2.35571824e-05  2.35572861e-05  9.99995589e-01
  2.67500000e+04  2.44049952e-05  2.44051007e-05  9.99995649e-01
  2.62500000e+04  2.53008366e-05  2.53009457e-05  9.99995708e-01
  2.57500000e+04  2.62484318e-05  2.62485428e-05  9.99995768e-01
  2.52500000e+04  2.72518628e-05  2.72519756e-05  9.99995768e-01
  2.47500000e+04  2.83156169e-05  2.83157351e-05  9.99995828e-01
  2.42500000e+04  2.94446363e-05  2.94447582e-05  9.99995887e-01
  2.37500000e+04  3.06443653e-05  3.06444927e-05  9.99995887e-01
  2.32500000e+04  3.19208193e-05  3.19209503e-05  9.99995947e-01
  2.29000000e+04  3.28635288e-05  3.28636597e-05  9.99995947e-01
  2.27938418e+04  3.31579104e-05  3.31580413e-05  9.99995947e-01
  2.27935801e+04  3.29878858e-05  3.29880204e-05  9.99996006e-01
  2.26500000e+04  3.33911703e-05  3.33913049e-05  9.99996006e-01
  2.22500000e+04  3.45552253e-05  3.45553635e-05  9.99996066e-01
  2.17500000e+04  3.60995000e-05  3.60996419e-05  9.99996066e-01
  2.12962480e+04  3.75938725e-05  3.75940217e-05  9.99996126e-01
  2.12500000e+04  3.77514625e-05  3.77516117e-05  9.99996126e-01
  2.07500000e+04  3.95213392e-05  3.95214920e-05  9.99996126e-01
  2.02500000e+04  4.14206006e-05  4.14207607e-05  9.99996185e-01
