Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
26000.  3.40   18.3   7.90e-07    1331.
n = 2726

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  1.12955520e-10  1.12955520e-10  1.00000000e+00
  2.00000000e+08  5.14395582e-10  5.14395582e-10  1.00000000e+00
  1.20000000e+07  4.79859441e-09  4.79859441e-09  1.00000000e+00
  1.00000000e+06  4.27967706e-08  4.27967812e-08  9.99999762e-01
  6.00000000e+05  8.44631529e-08  8.44631955e-08  9.99999583e-01
  2.50000000e+05  3.12059655e-07  3.12059882e-07  9.99999285e-01
  1.20000000e+05  1.04800597e-06  1.04800688e-06  9.99999106e-01
  5.00000000e+04  5.32989907e-06  5.32990225e-06  9.99999344e-01
  4.85000000e+04  5.64718357e-06  5.64718721e-06  9.99999344e-01
  4.75000000e+04  5.87510385e-06  5.87510749e-06  9.99999344e-01
  4.65000000e+04  6.11746418e-06  6.11746782e-06  9.99999344e-01
  4.55000000e+04  6.37553967e-06  6.37554376e-06  9.99999344e-01
  4.45000000e+04  6.65074867e-06  6.65075322e-06  9.99999344e-01
  4.35000000e+04  6.94467144e-06  6.94467599e-06  9.99999344e-01
  4.25000000e+04  7.25907239e-06  7.25907694e-06  9.99999344e-01
  4.15000000e+04  7.59592513e-06  7.59593013e-06  9.99999344e-01
  4.05000000e+04  7.95744381e-06  7.95744927e-06  9.99999344e-01
  3.95000000e+04  8.34611546e-06  8.34612092e-06  9.99999344e-01
  3.85000000e+04  8.76474678e-06  8.76475315e-06  9.99999285e-01
  3.75000000e+04  9.21651099e-06  9.21651736e-06  9.99999285e-01
  3.65000000e+04  9.70501333e-06  9.70502060e-06  9.99999285e-01
  3.55000000e+04  1.02343638e-05  1.02343711e-05  9.99999285e-01
  3.50017500e+04  1.05147956e-05  1.05148029e-05  9.99999285e-01
  3.45000000e+04  1.08092681e-05  1.08092754e-05  9.99999285e-01
  3.34000000e+04  1.15007624e-05  1.15007706e-05  9.99999285e-01
  3.24000000e+04  1.21899648e-05  1.21899739e-05  9.99999285e-01
  3.17500000e+04  1.26724444e-05  1.26724544e-05  9.99999285e-01
  3.12500000e+04  1.30637682e-05  1.30637782e-05  9.99999285e-01
  3.07500000e+04  1.34738939e-05  1.34739039e-05  9.99999285e-01
  3.02500000e+04  1.39040621e-05  1.39040731e-05  9.99999285e-01
  2.97500000e+04  1.43556144e-05  1.43556244e-05  9.99999285e-01
  2.92500000e+04  1.48300041e-05  1.48300151e-05  9.99999285e-01
  2.87500000e+04  1.53288183e-05  1.53288274e-05  9.99999285e-01
  2.82500000e+04  1.58537732e-05  1.58537841e-05  9.99999285e-01
  2.77500000e+04  1.64067460e-05  1.64067587e-05  9.99999285e-01
  2.72500000e+04  1.69897776e-05  1.69897885e-05  9.99999285e-01
  2.67500000e+04  1.76050926e-05  1.76051053e-05  9.99999285e-01
  2.62500000e+04  1.82551285e-05  1.82551412e-05  9.99999285e-01
  2.57500000e+04  1.89425446e-05  1.89425573e-05  9.99999344e-01
  2.52500000e+04  1.96702604e-05  1.96702713e-05  9.99999344e-01
  2.47500000e+04  2.04414755e-05  2.04414882e-05  9.99999344e-01
  2.42500000e+04  2.12597170e-05  2.12597315e-05  9.99999344e-01
  2.37500000e+04  2.21288647e-05  2.21288774e-05  9.99999344e-01
  2.32500000e+04  2.30532078e-05  2.30532223e-05  9.99999404e-01
  2.29000000e+04  2.37356144e-05  2.37356289e-05  9.99999404e-01
  2.27938418e+04  2.39486671e-05  2.39486817e-05  9.99999404e-01
  2.27935801e+04  2.37686891e-05  2.37687036e-05  9.99999404e-01
  2.26500000e+04  2.40593035e-05  2.40593181e-05  9.99999404e-01
  2.22500000e+04  2.48978940e-05  2.48979104e-05  9.99999404e-01
  2.17500000e+04  2.60098459e-05  2.60098604e-05  9.99999404e-01
  2.12962480e+04  2.70852870e-05  2.70853034e-05  9.99999404e-01
  2.12500000e+04  2.71986646e-05  2.71986810e-05  9.99999404e-01
  2.07500000e+04  2.84716061e-05  2.84716225e-05  9.99999464e-01
  2.02500000e+04  2.98368122e-05  2.98368286e-05  9.99999464e-01
  1.99835137e+04  3.06052425e-05  3.06052607e-05  9.99999464e-01
  1.98000000e+04  3.11519470e-05  3.11519652e-05  9.99999464e-01
  1.94000000e+04  3.23959830e-05  3.23960012e-05  9.99999464e-01
  1.90000000e+04  3.37167294e-05  3.37167476e-05  9.99999464e-01
  1.86000000e+04  3.51206909e-05  3.51207127e-05  9.99999464e-01
  1.82000000e+04  3.66150889e-05  3.66151107e-05  9.99999464e-01
  1.78000000e+04  3.82079415e-05  3.82079634e-05  9.99999464e-01
  1.77902715e+04  3.82479848e-05  3.82480066e-05  9.99999464e-01
  1.74000000e+04  3.99081728e-05  3.99081910e-05  9.99999523e-01
  1.70000000e+04  4.17257106e-05  4.17257288e-05  9.99999523e-01
  1.66000000e+04  4.36716109e-05  4.36716327e-05  9.99999523e-01
  1.62000000e+04  4.57581955e-05  4.57582173e-05  9.99999583e-01
  1.60308428e+04  4.66862002e-05  4.66862184e-05  9.99999583e-01
  1.58750000e+04  4.75665474e-05  4.75665693e-05  9.99999583e-01
  1.56250000e+04  4.90319871e-05  4.90320053e-05  9.99999583e-01
  1.53750000e+04  5.05664684e-05  5.05664866e-05  9.99999642e-01
  1.51250000e+04  5.21742440e-05  5.21742622e-05  9.99999642e-01
  1.48750000e+04  5.38598542e-05  5.38598724e-05  9.99999702e-01
  1.46700000e+04  5.53035206e-05  5.53035388e-05  9.99999702e-01
  1.45882109e+04  5.58956453e-05  5.58956599e-05  9.99999702e-01
  1.45881055e+04  5.48537864e-05  5.48538046e-05  9.99999642e-01
  1.44200000e+04  5.60750268e-05  5.60750486e-05  9.99999642e-01
  1.41250000e+04  5.83190485e-05  5.83190667e-05  9.99999642e-01
  1.38750000e+04  6.03277804e-05  6.03277986e-05  9.99999702e-01
  1.36250000e+04  6.24417007e-05  6.24417225e-05  9.99999702e-01
