Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
27000.  3.80   11.1   8.30e-08    1324.
n = 2720

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  3.90256022e-11  3.90256022e-11  1.00000000e+00
  2.00000000e+08  9.69652067e-11  9.69652067e-11  1.00000000e+00
  1.20000000e+07  7.45631112e-10  7.45631112e-10  1.00000000e+00
  1.00000000e+06  2.00747063e-08  2.00747063e-08  1.00000000e+00
  6.00000000e+05  4.87281788e-08  4.87281788e-08  1.00000000e+00
  2.50000000e+05  2.40463862e-07  2.40463862e-07  9.99999940e-01
  1.20000000e+05  9.48421700e-07  9.48421757e-07  9.99999940e-01
  5.00000000e+04  5.13968371e-06  5.13968371e-06  9.99999940e-01
  4.85000000e+04  5.45549392e-06  5.45549392e-06  9.99999940e-01
  4.75000000e+04  5.68278938e-06  5.68278983e-06  9.99999940e-01
  4.65000000e+04  5.92478182e-06  5.92478182e-06  9.99999940e-01
  4.55000000e+04  6.18270269e-06  6.18270315e-06  9.99999940e-01
  4.45000000e+04  6.45791442e-06  6.45791442e-06  9.99999940e-01
  4.35000000e+04  6.75192632e-06  6.75192632e-06  9.99999940e-01
  4.25000000e+04  7.06642140e-06  7.06642186e-06  9.99999940e-01
  4.15000000e+04  7.40328596e-06  7.40328642e-06  9.99999940e-01
  4.05000000e+04  7.76464276e-06  7.76464367e-06  9.99999940e-01
  3.95000000e+04  8.15289786e-06  8.15289877e-06  9.99999940e-01
  3.85000000e+04  8.57079158e-06  8.57079249e-06  9.99999940e-01
  3.75000000e+04  9.02146348e-06  9.02146439e-06  9.99999940e-01
  3.65000000e+04  9.50852700e-06  9.50852700e-06  9.99999940e-01
  3.55000000e+04  1.00361622e-05  1.00361631e-05  9.99999940e-01
  3.50017500e+04  1.03156790e-05  1.03156799e-05  9.99999940e-01
  3.45000000e+04  1.06092230e-05  1.06092239e-05  9.99999940e-01
  3.34000000e+04  1.12988328e-05  1.12988328e-05  9.99999940e-01
  3.24000000e+04  1.19868264e-05  1.19868273e-05  9.99999940e-01
  3.17500000e+04  1.24689986e-05  1.24689996e-05  9.99999940e-01
  3.12500000e+04  1.28604534e-05  1.28604552e-05  9.99999940e-01
  3.07500000e+04  1.32711111e-05  1.32711120e-05  9.99999940e-01
  3.02500000e+04  1.37022898e-05  1.37022907e-05  9.99999940e-01
  2.97500000e+04  1.41554137e-05  1.41554146e-05  9.99999940e-01
  2.92500000e+04  1.46320263e-05  1.46320272e-05  9.99999940e-01
  2.87500000e+04  1.51337899e-05  1.51337908e-05  9.99999940e-01
  2.82500000e+04  1.56625083e-05  1.56625101e-05  9.99999940e-01
  2.77500000e+04  1.62201322e-05  1.62201322e-05  9.99999940e-01
  2.72500000e+04  1.68087663e-05  1.68087663e-05  9.99999940e-01
  2.67500000e+04  1.74306897e-05  1.74306897e-05  9.99999940e-01
  2.62500000e+04  1.80883726e-05  1.80883726e-05  9.99999940e-01
  2.57500000e+04  1.87844853e-05  1.87844853e-05  9.99999940e-01
  2.52500000e+04  1.95219309e-05  1.95219309e-05  9.99999940e-01
  2.47500000e+04  2.03038562e-05  2.03038562e-05  9.99999940e-01
  2.42500000e+04  2.11336901e-05  2.11336919e-05  9.99999940e-01
  2.37500000e+04  2.20151815e-05  2.20151815e-05  9.99999940e-01
  2.32500000e+04  2.29524267e-05  2.29524267e-05  9.99999940e-01
  2.29000000e+04  2.36440665e-05  2.36440665e-05  9.99999940e-01
  2.27938418e+04  2.38599350e-05  2.38599368e-05  9.99999940e-01
  2.27935801e+04  2.36858759e-05  2.36858777e-05  9.99999940e-01
  2.26500000e+04  2.39804303e-05  2.39804322e-05  9.99999940e-01
  2.22500000e+04  2.48302877e-05  2.48302877e-05  9.99999940e-01
  2.17500000e+04  2.59567187e-05  2.59567205e-05  9.99999940e-01
  2.12962480e+04  2.70454111e-05  2.70454129e-05  9.99999940e-01
  2.12500000e+04  2.71601330e-05  2.71601348e-05  9.99999940e-01
  2.07500000e+04  2.84473554e-05  2.84473572e-05  9.99999940e-01
  2.02500000e+04  2.98260456e-05  2.98260475e-05  9.99999940e-01
  1.99835137e+04  3.06011534e-05  3.06011534e-05  9.99999940e-01
  1.98000000e+04  3.11521944e-05  3.11521944e-05  9.99999940e-01
  1.94000000e+04  3.24047869e-05  3.24047905e-05  9.99999940e-01
  1.90000000e+04  3.37326383e-05  3.37326419e-05  9.99999940e-01
  1.86000000e+04  3.51420094e-05  3.51420094e-05  9.99999940e-01
  1.82000000e+04  3.66399036e-05  3.66399072e-05  9.99999940e-01
  1.78000000e+04  3.82342332e-05  3.82342405e-05  9.99999881e-01
  1.77902715e+04  3.82742874e-05  3.82742910e-05  9.99999881e-01
  1.74000000e+04  3.99339224e-05  3.99339260e-05  9.99999881e-01
  1.70000000e+04  4.17490701e-05  4.17490737e-05  9.99999881e-01
  1.66000000e+04  4.36911505e-05  4.36911541e-05  9.99999881e-01
  1.62000000e+04  4.57731876e-05  4.57731912e-05  9.99999940e-01
  1.60308428e+04  4.66992969e-05  4.66993006e-05  9.99999940e-01
  1.58750000e+04  4.75780434e-05  4.75780507e-05  9.99999940e-01
  1.56250000e+04  4.90414532e-05  4.90414568e-05  9.99999940e-01
  1.53750000e+04  5.05749740e-05  5.05749776e-05  9.99999940e-01
  1.51250000e+04  5.21834190e-05  5.21834227e-05  9.99999940e-01
  1.48750000e+04  5.38719723e-05  5.38719760e-05  9.99999940e-01
  1.46700000e+04  5.53202844e-05  5.53202881e-05  1.00000000e+00
  1.45882109e+04  5.59149339e-05  5.59149339e-05  1.00000000e+00
  1.45881055e+04  5.49952274e-05  5.49952310e-05  9.99999940e-01
  1.44200000e+04  5.62158857e-05  5.62158893e-05  9.99999940e-01
  1.41250000e+04  5.84602676e-05  5.84602676e-05  9.99999940e-01
  1.38750000e+04  6.04714878e-05  6.04714878e-05  9.99999940e-01
  1.36250000e+04  6.25908506e-05  6.25908506e-05  9.99999940e-01
  1.33750000e+04  6.48265632e-05  6.48265632e-05  1.00000000e+00
  1.32954863e+04  6.55634576e-05  6.55634576e-05  1.00000000e+00
  1.31250000e+04  6.71875168e-05  6.71875241e-05  1.00000000e+00
  1.28750000e+04  6.96833740e-05  6.96833740e-05  1.00000000e+00
  1.26250000e+04  7.23245685e-05  7.23245685e-05  1.00000000e+00
  1.23750000e+04  7.51223924e-05  7.51223852e-05  1.00000012e+00
  1.22132930e+04  7.70211918e-05  7.70211918e-05  1.00000012e+00
  1.21250000e+04  7.80889968e-05  7.80889895e-05  1.00000012e+00
  1.18750000e+04  8.12374710e-05  8.12374637e-05  1.00000012e+00
  1.16250000e+04  8.45818795e-05  8.45818649e-05  1.00000012e+00
  1.13750000e+04  8.81372544e-05  8.81372471e-05  1.00000012e+00
