Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
42000.  3.60   18.8   8.00e-06    2576.
n = 2840

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  4.16252900e-11  4.16252935e-11  9.99999940e-01
  2.00000000e+08  1.62414526e-09  1.62414526e-09  1.00000000e+00
  1.20000000e+07  3.30103127e-08  3.30103127e-08  1.00000000e+00
  1.00000000e+06  2.37206564e-07  2.37206947e-07  9.99998391e-01
  6.00000000e+05  3.84494200e-07  3.84495621e-07  9.99996245e-01
  2.50000000e+05  1.03571745e-06  1.03572791e-06  9.99989808e-01
  1.20000000e+05  2.96590406e-06  2.96595158e-06  9.99983966e-01
  5.00000000e+04  1.18862590e-05  1.18865419e-05  9.99976218e-01
  4.85000000e+04  1.25055431e-05  1.25058432e-05  9.99975920e-01
  4.75000000e+04  1.29495202e-05  1.29498339e-05  9.99975741e-01
  4.65000000e+04  1.34208831e-05  1.34212114e-05  9.99975562e-01
  4.55000000e+04  1.39220210e-05  1.39223639e-05  9.99975443e-01
  4.45000000e+04  1.44555916e-05  1.44559499e-05  9.99975264e-01
  4.35000000e+04  1.50245560e-05  1.50249289e-05  9.99975085e-01
  4.25000000e+04  1.56322130e-05  1.56326041e-05  9.99974966e-01
  4.15000000e+04  1.62822635e-05  1.62826727e-05  9.99974847e-01
  4.05000000e+04  1.69788545e-05  1.69792838e-05  9.99974728e-01
  3.95000000e+04  1.77266538e-05  1.77271031e-05  9.99974668e-01
  3.85000000e+04  1.85309291e-05  1.85314002e-05  9.99974608e-01
  3.75000000e+04  1.93976448e-05  1.93981396e-05  9.99974549e-01
  3.65000000e+04  2.03335749e-05  2.03340933e-05  9.99974489e-01
  3.55000000e+04  2.13464336e-05  2.13469775e-05  9.99974489e-01
  3.50017500e+04  2.18824971e-05  2.18830555e-05  9.99974489e-01
  3.45000000e+04  2.24450469e-05  2.24456198e-05  9.99974489e-01
  3.34000000e+04  2.37647000e-05  2.37653057e-05  9.99974549e-01
  3.24000000e+04  2.50782159e-05  2.50788526e-05  9.99974549e-01
  3.17500000e+04  2.59967583e-05  2.59974186e-05  9.99974608e-01
  3.12500000e+04  2.67411797e-05  2.67418582e-05  9.99974668e-01
  3.07500000e+04  2.75208276e-05  2.75215243e-05  9.99974668e-01
  3.02500000e+04  2.83379832e-05  2.83386998e-05  9.99974728e-01
  2.97500000e+04  2.91951237e-05  2.91958586e-05  9.99974787e-01
  2.92500000e+04  3.00949232e-05  3.00956817e-05  9.99974847e-01
  2.87500000e+04  3.10402975e-05  3.10410796e-05  9.99974906e-01
  2.82500000e+04  3.20344079e-05  3.20352119e-05  9.99974966e-01
  2.77500000e+04  3.30806979e-05  3.30815237e-05  9.99975026e-01
  2.72500000e+04  3.41829145e-05  3.41837658e-05  9.99975145e-01
  2.67500000e+04  3.53451615e-05  3.53460382e-05  9.99975204e-01
  2.62500000e+04  3.65719134e-05  3.65728192e-05  9.99975264e-01
  2.57500000e+04  3.78680816e-05  3.78690165e-05  9.99975383e-01
  2.52500000e+04  3.92390502e-05  3.92400143e-05  9.99975502e-01
  2.47500000e+04  4.06907420e-05  4.06917352e-05  9.99975562e-01
  2.42500000e+04  4.22296689e-05  4.22306948e-05  9.99975681e-01
  2.37500000e+04  4.38630232e-05  4.38640855e-05  9.99975801e-01
  2.32500000e+04  4.55987574e-05  4.55998561e-05  9.99975920e-01
  2.29000000e+04  4.68793660e-05  4.68804901e-05  9.99976039e-01
  2.27938418e+04  4.72790452e-05  4.72801803e-05  9.99976039e-01
  2.27935801e+04  4.71935455e-05  4.71946769e-05  9.99976099e-01
  2.26500000e+04  4.77427784e-05  4.77439171e-05  9.99976099e-01
  2.22500000e+04  4.93270891e-05  4.93282641e-05  9.99976218e-01
  2.17500000e+04  5.14267049e-05  5.14279236e-05  9.99976337e-01
  2.12962480e+04  5.34562423e-05  5.34575011e-05  9.99976456e-01
  2.12500000e+04  5.36701446e-05  5.36714069e-05  9.99976456e-01
  2.07500000e+04  5.60709341e-05  5.60722474e-05  9.99976635e-01
  2.02500000e+04  5.86442184e-05  5.86455790e-05  9.99976814e-01
  1.99835137e+04  6.00919557e-05  6.00933454e-05  9.99976873e-01
  1.98000000e+04  6.11216601e-05  6.11230716e-05  9.99976933e-01
  1.94000000e+04  6.34638418e-05  6.34652970e-05  9.99977112e-01
  1.90000000e+04  6.59489888e-05  6.59504876e-05  9.99977231e-01
  1.86000000e+04  6.85890118e-05  6.85905616e-05  9.99977410e-01
