Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
27000.  3.20   22.3   1.50e-06    1444.
n = 2723

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  6.00000000e+08  1.09694899e-10  1.09694899e-10  1.00000000e+00
  2.00000000e+08  6.67021827e-10  6.67021827e-10  1.00000000e+00
  1.20000000e+07  7.41207362e-09  7.41207362e-09  1.00000000e+00
  1.00000000e+06  5.69362051e-08  5.69362335e-08  9.99999464e-01
  6.00000000e+05  1.06332273e-07  1.06332372e-07  9.99998987e-01
  2.50000000e+05  3.73610277e-07  3.73611044e-07  9.99997973e-01
  1.20000000e+05  1.18150820e-06  1.18151138e-06  9.99997258e-01
  5.00000000e+04  5.72002818e-06  5.72004228e-06  9.99997556e-01
  4.85000000e+04  6.06023423e-06  6.06024923e-06  9.99997556e-01
  4.75000000e+04  6.30512386e-06  6.30513932e-06  9.99997556e-01
  4.65000000e+04  6.56595967e-06  6.56597558e-06  9.99997556e-01
  4.55000000e+04  6.84416500e-06  6.84418183e-06  9.99997556e-01
  4.45000000e+04  7.14132238e-06  7.14133921e-06  9.99997616e-01
  4.35000000e+04  7.45919215e-06  7.45920988e-06  9.99997616e-01
  4.25000000e+04  7.79973925e-06  7.79975744e-06  9.99997616e-01
  4.15000000e+04  8.16515603e-06  8.16517422e-06  9.99997675e-01
  4.05000000e+04  8.55789767e-06  8.55791768e-06  9.99997675e-01
  3.95000000e+04  8.98071903e-06  8.98073995e-06  9.99997735e-01
  3.85000000e+04  9.43671694e-06  9.43673786e-06  9.99997735e-01
  3.75000000e+04  9.92938567e-06  9.92940750e-06  9.99997735e-01
  3.65000000e+04  1.04626806e-05  1.04627043e-05  9.99997795e-01
  3.55000000e+04  1.10411002e-05  1.10411238e-05  9.99997795e-01
  3.50017500e+04  1.13477063e-05  1.13477308e-05  9.99997854e-01
  3.45000000e+04  1.16697729e-05  1.16697993e-05  9.99997854e-01
  3.34000000e+04  1.24264152e-05  1.24264407e-05  9.99997854e-01
  3.24000000e+04  1.31808747e-05  1.31809029e-05  9.99997914e-01
  3.17500000e+04  1.37091511e-05  1.37091802e-05  9.99997914e-01
  3.12500000e+04  1.41376522e-05  1.41376813e-05  9.99997914e-01
  3.07500000e+04  1.45867543e-05  1.45867834e-05  9.99997973e-01
  3.02500000e+04  1.50577953e-05  1.50578262e-05  9.99997973e-01
  2.97500000e+04  1.55522284e-05  1.55522594e-05  9.99997973e-01
  2.92500000e+04  1.60716299e-05  1.60716609e-05  9.99997973e-01
  2.87500000e+04  1.66177106e-05  1.66177433e-05  9.99998033e-01
  2.82500000e+04  1.71923348e-05  1.71923693e-05  9.99998033e-01
  2.77500000e+04  1.77975307e-05  1.77975653e-05  9.99998033e-01
  2.72500000e+04  1.84355104e-05  1.84355467e-05  9.99998093e-01
  2.67500000e+04  1.91086874e-05  1.91087238e-05  9.99998093e-01
  2.62500000e+04  1.98196958e-05  1.98197322e-05  9.99998152e-01
  2.57500000e+04  2.05714223e-05  2.05714605e-05  9.99998152e-01
  2.52500000e+04  2.13670191e-05  2.13670573e-05  9.99998152e-01
  2.47500000e+04  2.22099479e-05  2.22099879e-05  9.99998212e-01
  2.42500000e+04  2.31040067e-05  2.31040485e-05  9.99998212e-01
  2.37500000e+04  2.40533664e-05  2.40534100e-05  9.99998212e-01
  2.32500000e+04  2.50626272e-05  2.50626726e-05  9.99998212e-01
  2.29000000e+04  2.58074451e-05  2.58074888e-05  9.99998271e-01
  2.27938418e+04  2.60399283e-05  2.60399756e-05  9.99998271e-01
  2.27935801e+04  2.58265809e-05  2.58266246e-05  9.99998271e-01
  2.26500000e+04  2.61445639e-05  2.61446094e-05  9.99998271e-01
  2.22500000e+04  2.70619366e-05  2.70619821e-05  9.99998271e-01
  2.17500000e+04  2.82778601e-05  2.82779074e-05  9.99998331e-01
  2.12962480e+04  2.94532692e-05  2.94533183e-05  9.99998331e-01
  2.12500000e+04  2.95771497e-05  2.95771988e-05  9.99998331e-01
  2.07500000e+04  3.09674833e-05  3.09675343e-05  9.99998331e-01
  2.02500000e+04  3.24574285e-05  3.24574830e-05  9.99998331e-01
  1.99835137e+04  3.32954914e-05  3.32955460e-05  9.99998331e-01
  1.98000000e+04  3.38914651e-05  3.38915233e-05  9.99998331e-01
  1.94000000e+04  3.52467214e-05  3.52467796e-05  9.99998331e-01
  1.90000000e+04  3.66841050e-05  3.66841668e-05  9.99998331e-01
  1.86000000e+04  3.82103244e-05  3.82103863e-05  9.99998331e-01
  1.82000000e+04  3.98327938e-05  3.98328593e-05  9.99998331e-01
  1.78000000e+04  4.15597387e-05  4.15598079e-05  9.99998331e-01
  1.77902715e+04  4.16031216e-05  4.16031908e-05  9.99998331e-01
  1.74000000e+04  4.34002941e-05  4.34003668e-05  9.99998331e-01
  1.70000000e+04  4.53646426e-05  4.53647226e-05  9.99998331e-01
  1.66000000e+04  4.74641529e-05  4.74642329e-05  9.99998331e-01
  1.62000000e+04  4.97115470e-05  4.97116307e-05  9.99998331e-01
  1.60308428e+04  5.07098521e-05  5.07099394e-05  9.99998331e-01
  1.58750000e+04  5.16562468e-05  5.16563305e-05  9.99998331e-01
