Age (s),L_FUV/M (L_sun/M_sun)
0.0,394.4260694938154
100000.0,399.53105572903405
200000.0,404.73145829393167
300000.0,409.0421554639454
400000.0,413.74782221112866
500000.0,418.5166909485165
600000.0,423.4499929084766
700000.0,429.05002603980523
800000.0,433.8741252718366
900000.0,439.6277309945728
1000000.0,446.9660005378155
1100000.0,465.5871988185823
1200000.0,468.97970901764893
1300000.0,472.07042473584914
1400000.0,480.25763846833644
1500000.0,494.26637870736783
1600000.0,515.2685220624533
1700000.0,521.2058041392424
1800000.0,529.6738957885174
1900000.0,542.5191853963853
2000000.0,559.297947281984
2100000.0,581.9881423534267
2200000.0,618.033504412116
2300000.0,646.4179207451515
2400000.0,670.708969228178
2500000.0,691.9379044317063
2600000.0,703.2768199647574
2700000.0,721.9797391699732
2800000.0,717.9001101191568
2900000.0,701.1803198192977
3000000.0,660.0282671657228
3100000.0,617.7652649027285
3200000.0,586.1713438563164
3300000.0,554.7592713366196
3400000.0,522.1849072381156
3500000.0,499.326475807459
3600000.0,475.06908390316136
3700000.0,464.5426130651527
3800000.0,451.32726314911855
3900000.0,426.6777122235696
4000000.0,412.5137119537015
4100000.0,400.2115784399261
4200000.0,385.55700919216775
4300000.0,370.0934140648087
4400000.0,356.2087342623836
4500000.0,347.1674390723359
4600000.0,342.3484982039814
4700000.0,335.48179775994225
4800000.0,322.5145281263762
4900000.0,306.0739728511505
5000000.0,294.51196771614457
5100000.0,284.0237137356152
5200000.0,275.6535448408793
5300000.0,269.140214810028
5400000.0,264.686159914608
5500000.0,254.9944136724326
5600000.0,246.60359494459354
5700000.0,236.06587185199692
5800000.0,227.6518587066723
5900000.0,220.94695734263465
6000000.0,212.23990455633768
6100000.0,203.07481016622378
6200000.0,193.76884503480747
6300000.0,184.29515116187457
6400000.0,175.24093920106816
6500000.0,169.29509855416913
6600000.0,163.23801713944215
6700000.0,157.06371608960598
6800000.0,151.7104753949824
6900000.0,146.6814609004756
7000000.0,142.18606210745892
7100000.0,138.517823547484
7200000.0,134.92207481170496
7300000.0,131.97023257568017
7400000.0,129.15840799956248
7500000.0,126.23859006769517
7600000.0,123.2964913535588
7700000.0,120.33968949560261
7800000.0,117.28963820388154
7900000.0,114.66101590627467
8000000.0,112.3883254292656
8100000.0,110.4440666471651
8200000.0,108.6682920097752
8300000.0,106.84844072860541
8400000.0,105.13340674188547
8500000.0,103.41236965765212
8600000.0,101.64836179851656
8700000.0,99.79264075135166
8800000.0,98.01853190301495
8900000.0,96.28596362209628
9000000.0,94.46264389830107
9100000.0,92.52605197824056
9200000.0,90.60003551813384
9300000.0,88.72323127502335
9400000.0,86.93273574479956
9500000.0,85.15472294883703
9600000.0,83.59839881264399
9700000.0,82.03097259234862
9800000.0,80.7111287265607
9900000.0,79.43895807786852
10000000.0,78.17436454904157
10100000.0,76.9954330939036
10200000.0,75.79617647892744
10300000.0,74.56590430364271
10400000.0,73.34057433500239
10500000.0,72.06806066701273
10600000.0,70.80361508207103
10700000.0,69.53235109106453
10800000.0,68.34311867612463
10900000.0,67.16674634415803
11000000.0,65.94581362877238
11100000.0,64.7346579279904
11200000.0,63.51423310708709
11300000.0,62.45187067717333
11400000.0,61.33917220980907
11500000.0,60.22784095287781
11600000.0,59.22511260620565
11700000.0,58.27584727745623
11800000.0,57.388634850048525
11900000.0,56.467514265653165
12000000.0,55.551318725256785
12100000.0,54.664087487676795
12200000.0,53.83200731086491
12300000.0,53.112629135237384
12400000.0,52.64561951000725
12500000.0,52.17363384621373
12600000.0,51.705210039184735
12700000.0,51.2294012776589
12800000.0,50.7374139042846
12900000.0,50.25690658969106
13000000.0,49.76373730777766
13100000.0,49.27843565859706
13200000.0,48.797321667670786
13300000.0,48.29510417698584
13400000.0,47.798342238765045
13500000.0,47.30540340951431
13600000.0,46.79540850569778
13700000.0,46.30061256023663
13800000.0,45.78575187277599
13900000.0,45.26896764217052
14000000.0,44.78338925418133
14100000.0,44.30063575644345
14200000.0,43.82698801789056
14300000.0,43.3511357280659
14400000.0,42.87808553154538
14500000.0,42.39992520298595
14600000.0,41.92629061772075
14700000.0,41.44510003177928
14800000.0,40.9677334646706
14900000.0,40.503140029559454
15000000.0,40.03008270843935
15100000.0,39.538863067460454
15200000.0,39.035734917903106
15300000.0,38.54036569129536
15400000.0,38.03576492951778
15500000.0,37.528445803161276
15600000.0,37.09054753002263
15700000.0,36.695056788790765
15800000.0,36.29877725459149
15900000.0,35.8934564360254
16000000.0,35.46370365983337
16100000.0,35.06465238406595
16200000.0,34.735892755693804
16300000.0,34.41507220574022
16400000.0,34.097930603225244
16500000.0,33.77929853590367
16600000.0,33.455037436571295
16700000.0,33.22235949805234
16800000.0,33.00550200052802
16900000.0,32.78455837932507
17000000.0,32.56833570575272
17100000.0,32.346534697051304
17200000.0,32.12333194701542
17300000.0,31.905909460574634
17400000.0,31.684991393642804
17500000.0,31.46301936846154
17600000.0,31.237955613964232
17700000.0,31.016961403394056
17800000.0,30.78770640167972
17900000.0,30.57414738807246
18000000.0,30.419524189928904
18100000.0,30.383703358949813
18200000.0,30.36793218567496
18300000.0,30.338459599629992
18400000.0,30.378134970663165
18500000.0,30.37097444051975
18600000.0,30.360035633405946
18700000.0,30.279413168933843
18800000.0,30.151154663625036
18900000.0,29.939466670983823
19000000.0,29.69606728639392
19100000.0,29.42845723741086
19200000.0,29.194693057484802
19300000.0,28.96120247063617
19400000.0,28.733056715166786
19500000.0,28.511301749054972
19600000.0,28.276171437494575
19700000.0,28.04374556163457
19800000.0,27.792072813573547
19900000.0,27.543184632947163
20000000.0,27.309918443343165
20100000.0,27.09421763534386
20200000.0,26.857653330251694
20300000.0,26.637240301402
20400000.0,26.406135054579376
20500000.0,26.175934377968293
20600000.0,25.93307174971139
20700000.0,25.705563931857817
20800000.0,25.476411574133504
20900000.0,25.247183809750855
21000000.0,25.003379796659313
21100000.0,24.759255352833133
21200000.0,24.609135204827787
21300000.0,24.530217195627046
21400000.0,24.388725944239145
21500000.0,24.26485976793176
21600000.0,24.14715767101927
21700000.0,24.036210397432605
21800000.0,23.929933288268895
21900000.0,23.82585029211086
22000000.0,23.710254740491628
22100000.0,23.593448102039538
22200000.0,23.46338330525431
22300000.0,23.34172799316012
22400000.0,23.230114527447817
22500000.0,23.109950870010007
22600000.0,22.980384050756314
22700000.0,22.845111363234363
