My Header
 has 3 lines r
Wavelenth (micron)  Kappa (m^2/kg)
5.431749824945830696e-02 9.566575124992134079e+03
5.381752172193697559e-02 9.457858508567316676e+03
5.332214733067247581e-02 9.349776226821719320e+03
5.283133271435983686e-02 9.242579905712946129e+03
5.234503590161748710e-02 9.135564725961397926e+03
5.186321530739800012e-02 9.027471708004908578e+03
5.138582972943202265e-02 8.920373654351064033e+03
5.091283834470491237e-02 8.814228753051813328e+03
5.044420070596585676e-02 8.709052239988910515e+03
4.997987673826895932e-02 8.604969204293989606e+03
4.951982673554644609e-02 8.502135446672811668e+03
4.906401135721314560e-02 8.400248243416332116e+03
4.861239162480231191e-02 8.298345097896193693e+03
4.816492891863251996e-02 8.197228921422765779e+03
4.772158497450509212e-02 8.094992898871348189e+03
4.728232188043200029e-02 7.989360103417332539e+03
4.684710207339385507e-02 7.884699626644505770e+03
4.641588833612779463e-02 7.782022305851724923e+03
4.598864379394481533e-02 7.680498055666420441e+03
4.556533191157657176e-02 7.582559473125200384e+03
4.514591649005110507e-02 7.490646058950069346e+03
4.473036166359720123e-02 7.399578680603770408e+03
4.431863189657758023e-02 7.301378684655866891e+03
4.391069198044994515e-02 7.202683543657245536e+03
4.350650703075626541e-02 7.103785168707280718e+03
4.310604248413962142e-02 7.003830249664478288e+03
4.270926409538861046e-02 6.904795386127591883e+03
4.231613793450882816e-02 6.823705034800444992e+03
4.192663038382150875e-02 6.745891766513615948e+03
4.154070813508869281e-02 6.674428121686763916e+03
4.115833818666482513e-02 6.612775047486265976e+03
4.077948784067485233e-02 6.551689471623197278e+03
4.040412470021795266e-02 6.493512705846184872e+03
4.003221666659721734e-02 6.436160340044648365e+03
3.966373193657479063e-02 6.379943437843932770e+03
3.929863899965214263e-02 6.325151295467547243e+03
3.893690663537565516e-02 6.270863498577674363e+03
3.857850391066675044e-02 6.219618442574537767e+03
3.822340017717669458e-02 6.169095553663350984e+03
3.787156506866572181e-02 6.119569919389746246e+03
3.752296849840636855e-02 6.071232054320273164e+03
3.717758065661060790e-02 6.023339125021115251e+03
3.683537200788070121e-02 5.974483283615424625e+03
3.649631328868353786e-02 5.925971867010414826e+03
3.616037550484813706e-02 5.881517424340654543e+03
3.582752992908633943e-02 5.842046385588650992e+03
3.549774809853620261e-02 5.802938666089723483e+03
3.517100181232796913e-02 5.825595126917184643e+03
3.484726312917259261e-02 5.851247319218712619e+03
3.452650436497233660e-02 5.854183647749138800e+03
3.420869809045341131e-02 5.830830342387302153e+03
3.389381712882037073e-02 5.807691997303410062e+03
3.358183455343217994e-02 5.749334862381084349e+03
3.327272368549952231e-02 5.690422250445260943e+03
3.296645809180350634e-02 5.634512286090300222e+03
3.266301158243520991e-02 5.581770488654653491e+03
3.236235820855605516e-02 5.529514163885953167e+03
3.206447226017888202e-02 5.478150389686014023e+03
3.176932826396937359e-02 5.427263493787822881e+03
3.147690098106771528e-02 5.377274787734770143e+03
3.118716540493035594e-02 5.328173884430480939e+03
3.090009675919159690e-02 5.279525752550184734e+03
3.061567049554482153e-02 5.231407007349777814e+03
3.033386229164337922e-02 5.183731180986013896e+03
3.005464804902062761e-02 5.136977418662135278e+03
