# My Header 
#  has 3 lines 
#  Wavelenth (micron)  Kappa (m^2/kg)
1.928000000000000114e+02 1.191727153057990929e+00
1.905000000000000000e+02 1.220952097349865761e+00
1.884000000000000057e+02 1.247733692769813496e+00
1.861999999999999886e+02 1.281471558811803968e+00
1.840999999999999943e+02 1.313752955173933978e+00
1.820000000000000000e+02 1.346052159378279711e+00
1.799000000000000057e+02 1.378375023386846143e+00
1.778000000000000114e+02 1.410724284533134476e+00
1.758000000000000114e+02 1.449462964755012573e+00
1.738000000000000114e+02 1.488224798974361773e+00
1.718000000000000114e+02 1.527013444721010638e+00
1.698000000000000114e+02 1.565826279539194621e+00
1.679000000000000057e+02 1.602789832740865394e+00
1.660000000000000000e+02 1.650098694934345911e+00
1.640999999999999943e+02 1.697440511023255327e+00
1.621999999999999886e+02 1.744814879461627610e+00
1.603000000000000114e+02 1.792218254462105032e+00
1.585000000000000000e+02 1.837218925136223868e+00
1.566999999999999886e+02 1.898699902299793685e+00
1.549000000000000057e+02 1.960208850432278771e+00
1.530999999999999943e+02 2.021752724440693871e+00
1.514000000000000057e+02 2.079991930317866888e+00
1.495999999999999943e+02 2.141601460949361879e+00
1.479000000000000057e+02 2.219106288486586642e+00
1.461999999999999886e+02 2.296639585732463740e+00
1.445000000000000000e+02 2.374212840336554109e+00
1.429000000000000057e+02 2.447360246691809404e+00
1.413000000000000114e+02 2.520547327675391802e+00
1.395999999999999943e+02 2.571922088448789445e+00
1.380000000000000000e+02 2.620419086697037159e+00
1.365000000000000000e+02 2.666040610408667799e+00
1.349000000000000057e+02 2.714622020868425967e+00
1.334000000000000057e+02 2.760325273343688046e+00
1.318000000000000114e+02 2.802093882952962467e+00
1.303000000000000114e+02 2.841416185881620482e+00
1.288000000000000114e+02 2.880787570454965252e+00
1.274000000000000057e+02 2.917720043380724881e+00
1.259000000000000057e+02 2.957184847691511909e+00
1.245000000000000000e+02 3.016110588957642946e+00
1.230000000000000000e+02 3.079140513562887094e+00
1.215999999999999943e+02 3.138178807998552422e+00
1.202000000000000028e+02 3.197262264900827322e+00
1.189000000000000057e+02 3.252358485824012657e+00
1.175000000000000000e+02 3.331964673711062197e+00
1.160999999999999943e+02 3.411610958408020089e+00
1.147999999999999972e+02 3.485807652625035225e+00
1.135000000000000000e+02 3.560083887842362405e+00
1.122000000000000028e+02 3.634406958045971692e+00
1.109000000000000057e+02 3.730513288899084845e+00
1.095999999999999943e+02 3.826689539013070185e+00
1.084000000000000057e+02 3.915740185054400246e+00
1.072000000000000028e+02 4.004863608124670904e+00
1.059000000000000057e+02 4.101263471016861395e+00
1.047000000000000028e+02 4.213638432632991204e+00
1.035000000000000000e+02 4.326113436790202549e+00
1.022999999999999972e+02 4.438662596752137368e+00
1.012000000000000028e+02 4.542176566074669353e+00
1.000000000000000000e+02 4.654866101417130864e+00
9.885999999999999943e+01 4.784845140346119408e+00
9.771999999999999886e+01 4.914913199042648451e+00
9.660999999999999943e+01 5.041713290042578954e+00
9.550000000000000000e+01 5.168634387167698740e+00
9.440999999999999659e+01 5.293368510776957692e+00
9.332999999999999829e+01 5.442926899240547733e+00
9.226000000000000512e+01 5.591223550776102336e+00
9.120000000000000284e+01 5.738275999905000369e+00
9.015999999999999659e+01 5.882709473599808447e+00
8.912999999999999545e+01 6.025874103894723000e+00
8.809999999999999432e+01 6.200751036432014196e+00
8.709999999999999432e+01 6.370778539993266598e+00
8.609999999999999432e+01 6.540889371443434186e+00
8.510999999999999943e+01 6.709484541788236278e+00
8.414000000000000057e+01 6.874836490118156895e+00
8.318000000000000682e+01 7.072221986240416314e+00
8.221999999999999886e+01 7.269761557963365206e+00
8.128000000000000114e+01 7.463355110463982811e+00
8.034999999999999432e+01 7.655090440083577086e+00
7.943000000000000682e+01 7.844934697724170292e+00
7.851999999999999602e+01 8.068282640326888355e+00
7.762000000000000455e+01 8.289342712979484773e+00
7.673999999999999488e+01 8.505752119184547766e+00
7.585999999999999943e+01 8.722274667445349294e+00
7.498999999999999488e+01 8.936549216611130220e+00
7.412999999999999545e+01 9.185460636027386272e+00
7.328000000000000114e+01 9.431723022374429277e+00
7.243999999999999773e+01 9.675274134615918342e+00
7.160999999999999943e+01 9.916125325018191106e+00
7.079000000000000625e+01 1.015438218867758025e+01
6.998000000000000398e+01 1.042988981512580082e+01
6.918000000000000682e+01 1.070221728704825814e+01
6.839000000000000057e+01 1.097137742611086431e+01
6.760999999999999943e+01 1.123738030003064026e+01
6.682999999999999829e+01 1.150353397655159249e+01
6.606999999999999318e+01 1.180484897045674231e+01
6.531000000000000227e+01 1.210626137244376999e+01
6.456999999999999318e+01 1.240015922695373973e+01
6.382999999999999829e+01 1.269420850320158500e+01
6.310000000000000142e+01 1.298453681853605879e+01
6.236999999999999744e+01 1.331587725392060761e+01
6.165999999999999659e+01 1.363852787029196278e+01
6.095000000000000284e+01 1.396138556007063691e+01
6.025999999999999801e+01 1.427555603769794779e+01
5.957000000000000028e+01 1.458987678356928264e+01
5.888000000000000256e+01 1.494541607478051404e+01
5.821000000000000085e+01 1.529109270065730897e+01
5.753999999999999915e+01 1.563693966725125328e+01
5.689000000000000057e+01 1.597287630196084329e+01
5.622999999999999687e+01 1.631408606343496714e+01
5.559000000000000341e+01 1.668450492654907791e+01
5.495000000000000284e+01 1.705509903363970992e+01
5.432999999999999829e+01 1.741458337997611494e+01
5.370000000000000284e+01 1.777994442143521781e+01
5.309000000000000341e+01 1.813412892584211633e+01
5.247999999999999687e+01 1.852266870959039480e+01
5.188000000000000256e+01 1.890525929989759746e+01
5.128999999999999915e+01 1.928169822081011020e+01
5.070000000000000284e+01 1.965845126723129255e+01
5.011999999999999744e+01 2.002906230849252012e+01
4.954999999999999716e+01 2.041966294860648290e+01
4.897999999999999687e+01 2.081036167289871486e+01
4.842000000000000171e+01 2.119459260600753225e+01
4.785999999999999943e+01 2.157897303895963503e+01
4.732000000000000028e+01 2.195023851924091574e+01
4.677000000000000313e+01 2.235338505206283699e+01
4.624000000000000199e+01 2.274253927551444221e+01
4.571000000000000085e+01 2.313176216872593827e+01
4.518999999999999773e+01 2.351403235659939739e+01
4.467000000000000171e+01 2.389640354721181481e+01
4.415999999999999659e+01 2.429077299929255318e+01
4.364999999999999858e+01 2.468529876246388355e+01
4.314999999999999858e+01 2.507239085764195963e+01
4.265999999999999659e+01 2.545214959775935881e+01
4.217000000000000171e+01 2.583195801775054079e+01
4.168999999999999773e+01 2.620773259408213818e+01
4.121000000000000085e+01 2.658350274110351918e+01
4.074000000000000199e+01 2.695179519924613487e+01
4.027000000000000313e+01 2.732012208757725347e+01
3.981000000000000227e+01 2.768100648915662987e+01
3.935999999999999943e+01 2.801601302097481749e+01
3.889999999999999858e+01 2.835816051781117508e+01
3.846000000000000085e+01 2.868607666266428069e+01
3.802000000000000313e+01 2.901403266896791067e+01
3.757999999999999829e+01 2.934193618418192884e+01
3.714999999999999858e+01 2.962416466745169785e+01
3.672999999999999687e+01 2.990021297592598160e+01
3.631000000000000227e+01 3.017619831157046306e+01
3.589000000000000057e+01 3.045216901629240169e+01
3.547999999999999687e+01 3.072177913034756358e+01
3.507999999999999829e+01 3.092873873318038136e+01
3.467000000000000171e+01 3.114032729364811658e+01
3.428000000000000114e+01 3.134231317081299295e+01
3.388000000000000256e+01 3.154894026698996257e+01
3.350000000000000000e+01 3.174574926643081341e+01
3.310999999999999943e+01 3.187220594425302167e+01
3.272999999999999687e+01 3.199561804708152124e+01
3.235999999999999943e+01 3.211591476990000871e+01
3.198999999999999844e+01 3.223596057350931687e+01
3.162000000000000099e+01 3.235580923194893899e+01
3.126000000000000156e+01 3.239960454878237073e+01
3.089999999999999858e+01 3.244297013826096787e+01
3.055000000000000071e+01 3.248519449131148917e+01
3.019999999999999929e+01 3.252703167127975092e+01
2.985000000000000142e+01 3.256851212018289488e+01
2.951000000000000156e+01 3.254231989318073204e+01
2.917000000000000171e+01 3.251567544934169263e+01
2.883999999999999986e+01 3.248958544895401701e+01
2.851000000000000156e+01 3.246305275416453640e+01
2.817999999999999972e+01 3.243606493345665598e+01
2.785999999999999943e+01 3.235215869455002036e+01
2.753999999999999915e+01 3.226790217113938297e+01
2.723000000000000043e+01 3.218625156398983478e+01
2.692000000000000171e+01 3.210447502566864131e+01
2.660999999999999943e+01 3.202279541116724459e+01
2.630000000000000071e+01 3.190342836231740975e+01
2.600000000000000000e+01 3.178924281131994789e+01
2.569999999999999929e+01 3.167663484912494809e+01
2.541000000000000014e+01 3.157095547794675028e+01
2.512000000000000099e+01 3.146987895243714561e+01
2.482999999999999829e+01 3.137063058104372359e+01
2.455000000000000071e+01 3.128846580284749734e+01
2.426999999999999957e+01 3.122879677317705571e+01
2.398999999999999844e+01 3.121087195300550121e+01
2.371000000000000085e+01 3.127045809622249806e+01
2.344000000000000128e+01 3.144342870889216002e+01
