Figure_3_star_formation_history_surface_density[28]
lookback_myr,sfr_surface_density_msun_per_myr_per_kpc2,sfr_surface_density_uncertainty_msun_per_myr_per_kpc2
0.0,3.4092207292185900,1.0445701741831000
0.1,3.642846614727670,1.3522596082255600
0.2,3.896327075007700,1.5881223033210800
0.30000000000000000,4.170729283704640,2.0401028231486800
0.4,4.466774295377270,2.3013947658339600
0.5,5.155058696040430,2.4262125884403500
0.6000000000000000,8.252847458920270,2.799801469882570
0.7000000000000000,10.666386673562900,3.3833045718335100
0.8,11.437362925275700,4.834338109298750
0.9,12.258113553791800,5.312589428836590
1.0,17.710708987852600,5.8523834583283300
1.1,18.878486472825600,6.627626191885220
1.2000000000000000,20.153962410373800,7.787815417456150
1.3,34.10152997972180,10.329983853958600
1.4000000000000000,46.501798842876300,15.331963703622400
1.5,51.14132667439480,20.19791667525520
1.6,56.38221416979870,24.054207374180800
1.7000000000000000,114.71592156717700,31.31751101424620
1.8,137.02768316917300,74.61988529666870
1.9000000000000000,158.3458515333230,187.30967911118200
2.0,186.94473537353400,311.1652325278930
2.1,206.40639022278800,418.8544503848560
2.2,1304.52655679027,501.1617767721210
2.3000000000000000,1536.506235713590,598.1130973724570
2.4000000000000000,2231.3302020096100,661.6756374905410
2.5,2444.5897669429900,706.3573782973820
2.6,2596.8601619947500,683.6723442334250
2.7,2730.23779887895,697.0950672493810
2.8000000000000000,2839.348544318180,724.8359561604840
2.9000000000000000,2919.7256300023700,713.3557802601410
3.0,2968.5763622082700,708.5868267393280
3.1,2985.6327255515400,722.9554189056330
3.2,2971.4791377374300,727.4433216848020
3.3000000000000000,2194.345308421890,727.2488803508640
3.4000000000000000,1948.8617143484700,718.8307028658420
3.5,935.6157006637240,688.0450344444790
3.6,923.2559598511810,683.7948289927970
3.7,919.9185289592000,654.461176035267
3.8000000000000000,929.1024369894560,641.1898652146220
3.9000000000000000,953.2618180092780,612.4175565563510
4.0,993.5583401363010,572.1370079952520
4.1000000000000000,1049.749964097910,580.8312384328190
4.2,1445.944197170760,586.5036354336310
4.3,1555.9166434282700,581.3091894084560
4.4,1718.6217875406300,583.394140210616
4.5,2342.066729666030,522.4711415413240
4.6000000000000000,2641.489709090460,535.5587544154810
4.7,2772.70002422932,482.57047605055400
4.800000000000000,2870.4624105212400,503.8858549818810
4.9,2926.278022683030,517.6372839035090
5.0,2934.361036240560,489.77325422312400
5.1000000000000000,4606.935911864030,468.5784632335230
5.2,4476.684325787860,466.387372500983
5.300000000000000,4285.813323863290,404.14337981334100
5.4,4051.3061150082000,348.01516793901200
5.5,1860.0091719150800,309.117354376402
