lookback_myr,sfr_surface_density_msun_per_myr_per_kpc2,sfr_surface_density_uncertainty_msun_per_myr_per_kpc2
0.0,58.660897500274,12.9846605067076
0.1,59.7746238401361,13.2670546437098
0.2,60.8510844688917,13.455018725803
0.3,61.8868667526657,13.1713228109079
0.4,62.8788463536991,13.3084188881497
0.5,63.8242262437987,13.3026573973937
0.6,64.7205717463501,13.0665124812242
0.7,65.5658408892874,13.0201067098291
0.8,66.358409435387,13.075397357675
0.9,67.097090057904,13.1692310994744
1.0,67.77971645728,13.3301702058516
1.1,68.4009738662329,13.229117053412
1.2,68.9646260301723,13.3492525320456
1.3,69.4713550274719,13.4270895853379
1.4,68.4077417985459,13.4306042574704
1.5,68.8152757088049,13.3882176661524
1.6,68.9823469902402,12.8684233396163
1.7,68.5482981839624,12.8969040523412
1.8,68.8231101655091,12.5735532290677
1.9,69.0578136261124,11.8850191864303
2.0,69.2553833511894,11.7291406449923
2.1,69.4189751652113,11.3396980605557
2.2,69.5518803050438,10.9494631125287
2.3,69.6574792620104,10.8292568128933
2.4,69.7391959093115,10.8649285138363
2.5,69.8004527005174,10.9119382600954
2.6,69.8446276785297,10.7496188262188
2.7,69.8750139745315,10.4816827878363
2.8,69.8947824051114,10.6165231374193
2.9,69.9069476951359,10.6310199864908
3.0,69.9143387663549,10.3202251422633
3.1,69.9195734393963,10.3097974123704
3.2,69.9250378019467,10.3432826473509
3.3,69.9328704005861,10.2096396553555
3.4,69.944951319867,10.3510389488394
3.5,69.9628961215034,10.4207426227886
3.6,69.9880545304811,10.530857520851
3.7,70.0215136747678,10.4834623229924
3.8,70.0641056121423,10.4187064519512
3.9,70.1164188122719,10.251040546711
4.0,70.178813205138,10.0664941889888
4.1,70.2514383586146,9.98230209571502
4.2,70.3342543086499,9.83077691118238
4.3,70.4270545351114,9.86418952597783
4.4,70.5294905548498,9.82099338731244
4.5,70.6410975907004,9.89204722567089
4.6,70.7613207707114,9.84631963058683
4.7,70.8895413155301,9.58094108119607
4.8,71.0251021832465,9.30594255386226
4.9,71.167332659731,9.42581881862158
5.0,71.3155714082569,9.51864249945586
5.1,71.4691875246458,9.51441002784197
5.2,71.6275991830008,9.61065529407695
5.3,71.8458555846027,9.93223886458538
5.4,72.0898802851613,9.98341085688623
5.5,72.3358363188327,9.84829424192385
5.6,72.5834502072646,9.70240892218233
5.7,72.8326076397462,9.70943111568171
5.8,73.0833523798398,9.8417439738773
5.9,73.2903365919867,10.0446116341513
6.0,73.3334928547178,9.96886621351179
6.1,73.3890560835945,9.65016716115328
6.2,73.4570530313043,9.86815964841258
6.3,73.5375723610389,10.0646716456216
6.4,73.6307361543011,10.2212152087341
6.5,73.7366694432495,10.4441709667342
6.6,73.8554683405448,10.4545492248479
6.7,73.9871673925612,10.6286817701094
6.8,74.1317068267191,10.625465429408
6.9,74.2889003995185,10.8407446881382
7.0,74.4584045775381,10.8482410087859
7.1,74.639689798156,10.9734937294038
7.2,74.8320145589671,11.0433714777525
7.3,75.0344030736851,10.9352208036289
7.4,75.245627206617,11.2137234338259
7.5,75.464193356403,11.1685934574956
7.6,75.688334901567,11.4209068823794
7.7,75.9160107445186,11.6766422530136
7.8,76.1449103962438,11.9209332446094
7.9,76.372465930602,11.8717902829839
8.0,76.5958710050234,11.8392925692413
8.1,76.81210699422,12.3356090745449
8.2,77.0179761169214,12.3591561817466
8.3,77.2101412552196,12.5769476905683
8.4,77.3851719756088,12.6036758928029
8.5,77.5395960651911,12.3652017302119
8.6,77.6699557019209,12.0731648415943
8.7,77.7728671914467,11.950398511877
8.8,77.8278639459953,11.7905798642461
8.9,77.8257814473007,12.0816341860294
9.0,77.7854248776024,12.3787048937979
9.1,77.7044633734833,12.0641993777136
9.2,77.5809529994228,12.1403006227081
9.3,77.4133819773648,12.0438645650255
9.4,77.2007084050171,12.6912961529791
9.5,76.9423893355213,12.7321659591868
9.6,76.6384003347676,13.3684540546748
9.7,76.2892449156392,13.2814523205008
9.8,75.895953559352,13.2551863297527
9.9,75.4600723593793,13.3391173308158
